Date,Season,Game_ID,Home_Team_ID,Away_Team_ID,Home_Team,Away_Team,Venue
2026-03-25,2026,823244,137,147,San Francisco Giants,New York Yankees,Oracle Park
2026-03-26,2026,823081,138,139,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
2026-03-26,2026,823163,136,114,Seattle Mariners,Cleveland Guardians,T-Mobile Park
2026-03-26,2026,823325,135,116,San Diego Padres,Detroit Tigers,Petco Park
2026-03-26,2026,823486,143,140,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
2026-03-26,2026,823649,121,134,New York Mets,Pittsburgh Pirates,Citi Field
2026-03-26,2026,823812,158,145,Milwaukee Brewers,Chicago White Sox,American Family Field
2026-03-26,2026,823974,119,109,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
2026-03-26,2026,824218,117,108,Houston Astros,Los Angeles Angels,Daikin Park
2026-03-26,2026,824541,113,111,Cincinnati Reds,Boston Red Sox,Great American Ball Park
2026-03-26,2026,824704,112,120,Chicago Cubs,Washington Nationals,Wrigley Field
2026-03-26,2026,824865,110,142,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
2026-03-27,2026,822839,141,133,Toronto Blue Jays,Athletics,Rogers Centre
2026-03-27,2026,823162,136,114,Seattle Mariners,Cleveland Guardians,T-Mobile Park
2026-03-27,2026,823243,137,147,San Francisco Giants,New York Yankees,Oracle Park
2026-03-27,2026,823324,135,116,San Diego Padres,Detroit Tigers,Petco Park
2026-03-27,2026,823893,146,115,Miami Marlins,Colorado Rockies,loanDepot park
2026-03-27,2026,823971,119,109,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
2026-03-27,2026,824216,117,108,Houston Astros,Los Angeles Angels,Daikin Park
2026-03-27,2026,824946,144,118,Atlanta Braves,Kansas City Royals,Truist Park
2026-03-28,2026,822838,141,133,Toronto Blue Jays,Athletics,Rogers Centre
2026-03-28,2026,823082,138,139,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
2026-03-28,2026,823161,136,114,Seattle Mariners,Cleveland Guardians,T-Mobile Park
2026-03-28,2026,823241,137,147,San Francisco Giants,New York Yankees,Oracle Park
2026-03-28,2026,823323,135,116,San Diego Padres,Detroit Tigers,Petco Park
2026-03-28,2026,823488,143,140,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
2026-03-28,2026,823651,121,134,New York Mets,Pittsburgh Pirates,Citi Field
2026-03-28,2026,823811,158,145,Milwaukee Brewers,Chicago White Sox,American Family Field
2026-03-28,2026,823892,146,115,Miami Marlins,Colorado Rockies,loanDepot park
2026-03-28,2026,823973,119,109,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
2026-03-28,2026,824213,117,108,Houston Astros,Los Angeles Angels,Daikin Park
2026-03-28,2026,824540,113,111,Cincinnati Reds,Boston Red Sox,Great American Ball Park
2026-03-28,2026,824701,112,120,Chicago Cubs,Washington Nationals,Wrigley Field
2026-03-28,2026,824862,110,142,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
2026-03-28,2026,824945,144,118,Atlanta Braves,Kansas City Royals,Truist Park
2026-03-29,2026,822837,141,133,Toronto Blue Jays,Athletics,Rogers Centre
2026-03-29,2026,823079,138,139,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
2026-03-29,2026,823160,136,114,Seattle Mariners,Cleveland Guardians,T-Mobile Park
2026-03-29,2026,823487,143,140,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
2026-03-29,2026,823647,121,134,New York Mets,Pittsburgh Pirates,Citi Field
2026-03-29,2026,823810,158,145,Milwaukee Brewers,Chicago White Sox,American Family Field
2026-03-29,2026,823891,146,115,Miami Marlins,Colorado Rockies,loanDepot park
2026-03-29,2026,824215,117,108,Houston Astros,Los Angeles Angels,Daikin Park
2026-03-29,2026,824538,113,111,Cincinnati Reds,Boston Red Sox,Great American Ball Park
2026-03-29,2026,824700,112,120,Chicago Cubs,Washington Nationals,Wrigley Field
2026-03-29,2026,824864,110,142,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
2026-03-29,2026,824944,144,118,Atlanta Braves,Kansas City Royals,Truist Park
2026-03-30,2026,822834,141,115,Toronto Blue Jays,Colorado Rockies,Rogers Centre
2026-03-30,2026,823080,138,121,St. Louis Cardinals,New York Mets,Busch Stadium
2026-03-30,2026,823159,136,147,Seattle Mariners,New York Yankees,T-Mobile Park
2026-03-30,2026,823320,135,137,San Diego Padres,San Francisco Giants,Petco Park
2026-03-30,2026,823484,143,120,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
2026-03-30,2026,823809,158,139,Milwaukee Brewers,Tampa Bay Rays,American Family Field
2026-03-30,2026,823890,146,145,Miami Marlins,Chicago White Sox,loanDepot park
2026-03-30,2026,823972,119,114,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
2026-03-30,2026,824135,118,142,Kansas City Royals,Minnesota Twins,Kauffman Stadium
2026-03-30,2026,824214,117,111,Houston Astros,Boston Red Sox,Daikin Park
2026-03-30,2026,824539,113,134,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
2026-03-30,2026,824702,112,108,Chicago Cubs,Los Angeles Angels,Wrigley Field
2026-03-30,2026,824863,110,140,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
2026-03-30,2026,824943,144,133,Atlanta Braves,Athletics,Truist Park
2026-03-30,2026,825108,109,116,Arizona Diamondbacks,Detroit Tigers,Chase Field
2026-03-31,2026,822836,141,115,Toronto Blue Jays,Colorado Rockies,Rogers Centre
2026-03-31,2026,823077,138,121,St. Louis Cardinals,New York Mets,Busch Stadium
2026-03-31,2026,823158,136,147,Seattle Mariners,New York Yankees,T-Mobile Park
2026-03-31,2026,823322,135,137,San Diego Padres,San Francisco Giants,Petco Park
2026-03-31,2026,823485,143,120,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
2026-03-31,2026,823807,158,139,Milwaukee Brewers,Tampa Bay Rays,American Family Field
2026-03-31,2026,823888,146,145,Miami Marlins,Chicago White Sox,loanDepot park
2026-03-31,2026,823969,119,114,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
2026-03-31,2026,824212,117,111,Houston Astros,Boston Red Sox,Daikin Park
2026-03-31,2026,824537,113,134,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
2026-03-31,2026,824699,112,108,Chicago Cubs,Los Angeles Angels,Wrigley Field
2026-03-31,2026,824861,110,140,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
2026-03-31,2026,824942,144,133,Atlanta Braves,Athletics,Truist Park
2026-03-31,2026,825107,109,116,Arizona Diamondbacks,Detroit Tigers,Chase Field
2026-04-01,2026,822835,141,115,Toronto Blue Jays,Colorado Rockies,Rogers Centre
2026-04-01,2026,823078,138,121,St. Louis Cardinals,New York Mets,Busch Stadium
