season,week,gsis_id,full_name,team,position,depth_chart_position,status,years_exp,rookie_year,history_available
2026,1,00-0041222,Gabriel Benyard,BUF,WR,WR,ACT,0,2026,False
2026,1,00-0041272,Ja'Mori Maclin,BUF,WR,WR,ACT,0,2026,False
2026,1,00-0037387,Jalen Virgil,BUF,WR,WR,ACT,4,2022,True
2026,1,00-0036988,Josh Palmer,BUF,WR,WR,ACT,5,2021,True
2026,1,00-0039901,Keon Coleman,BUF,WR,WR,ACT,2,2024,True
2026,1,00-0037261,Khalil Shakir,BUF,WR,WR,ACT,4,2022,True
2026,1,00-0040086,Mac Dalena,BUF,WR,WR,CUT,1,2025,False
2026,1,00-0041274,Max Tomczak,BUF,WR,WR,ACT,0,2026,False
2026,1,00-0035140,Mecole Hardman,BUF,WR,WR,ACT,7,2019,True
2026,1,00-0040406,Quentin Skinner,BUF,WR,WR,CUT,1,2025,True
2026,1,00-0041443,Skyler Bell,BUF,WR,WR,ACT,0,2026,False
2026,1,00-0040361,Stephen Gosnell,BUF,WR,WR,ACT,1,2025,False
2026,1,00-0034487,Trent Sherfield,BUF,WR,WR,ACT,8,2018,True
2026,1,00-0038679,Tyrell Shavers,BUF,WR,WR,A02,3,2023,True
2026,1,00-0039150,Bryce Young,CAR,QB,QB,ACT,3,2023,True
2026,1,00-0041149,Haynes King,CAR,QB,QB,ACT,0,2026,False
2026,1,00-0038102,Kenny Pickett,CAR,QB,QB,ACT,4,2022,True
2026,1,00-0036928,Kyle Trask,CAR,QB,QB,ACT,5,2021,False
2026,1,00-0035251,Will Grier,CAR,QB,QB,RET,7,2019,True
2026,1,00-0036265,AJ Dillon,CAR,RB,RB,ACT,6,2020,True
2026,1,00-0040394,Anthony Tyus III,CAR,RB,RB,ACT,1,2025,False
2026,1,00-0036555,Chuba Hubbard,CAR,RB,RB,ACT,5,2021,True
2026,1,00-0039344,Jonathon Brooks,CAR,RB,RB,ACT,2,2024,True
2026,1,00-0041485,Miles Davis,CAR,RB,RB,CUT,0,2026,False
2026,1,00-0040644,Trevor Etienne,CAR,RB,RB,ACT,1,2025,True
2026,1,00-0040292,Bryce Pierre,CAR,TE,TE,RES,1,2025,False
2026,1,00-0040392,Caden Prieskorn,CAR,TE,TE,CUT,1,2025,False
2026,1,00-0031610,Darren Waller,CAR,TE,TE,ACT,11,2015,False
2026,1,00-0036825,Feleipe Franks,CAR,TE,TE,ACT,5,2021,True
2026,1,00-0039356,Ja'Tavion Sanders,CAR,TE,TE,ACT,2,2024,True
2026,1,00-0037282,James Mitchell,CAR,TE,TE,ACT,4,2022,True
2026,1,00-0040187,Mitchell Evans,CAR,TE,TE,ACT,1,2025,True
2026,1,00-0037005,Tommy Tremble,CAR,TE,TE,ACT,5,2021,True
2026,1,00-0039747,Ainias Smith,CAR,WR,WR,ACT,2,2024,True
2026,1,00-0038840,Brycen Tremayne,CAR,WR,WR,ACT,3,2023,True
2026,1,00-0039394,Casey Washington,CAR,WR,WR,ACT,2,2024,True
2026,1,00-0041047,Chris Brazzell II,CAR,WR,WR,RES,0,2026,False
2026,1,00-0035976,Dan Chisena,CAR,WR,WR,RES,6,2020,True
2026,1,00-0033589,David Moore,CAR,WR,WR,ACT,9,2017,True
2026,1,00-0038667,Elijah Cooks,CAR,WR,WR,CUT,3,2023,False
2026,1,00-0040265,Ja'Seem Reed,CAR,WR,WR,ACT,1,2025,False
2026,1,00-0039491,Jalen Coker,CAR,WR,WR,ACT,2,2024,True
2026,1,00-0040218,Jimmy Horn Jr.,CAR,WR,WR,ACT,1,2025,True
2026,1,00-0037614,John Metchie III,CAR,WR,WR,ACT,4,2022,True
2026,1,00-0041542,Malick Meiga,CAR,WR,WR,CUT,0,2026,False
2026,1,00-0040531,Roc Taylor,CAR,WR,WR,CUT,1,2025,False
2026,1,00-0040124,Tetairoa McMillan,CAR,WR,WR,ACT,1,2025,True
2026,1,00-0039342,Xavier Legette,CAR,WR,WR,ACT,2,2024,True
2026,1,00-0039918,Caleb Williams,CHI,QB,QB,ACT,2,2024,True
2026,1,00-0028986,Case Keenum,CHI,QB,QB,ACT,14,2012,True
2026,1,00-0041172,Miller Moss,CHI,QB,QB,ACT,0,2026,False
2026,1,00-0038416,Tyson Bagent,CHI,QB,QB,ACT,3,2023,True
2026,1,00-0037329,Brittain Brown,CHI,RB,RB,ACT,4,2022,True
2026,1,00-0036275,D'Andre Swift,CHI,RB,RB,ACT,6,2020,True
2026,1,00-0040236,Kyle Monangai,CHI,RB,RB,ACT,1,2025,True
2026,1,00-0039021,Roschon Johnson,CHI,RB,RB,ACT,3,2023,True
2026,1,00-0036020,Salvon Ahmed,CHI,RB,RB,ACT,6,2020,True
2026,1,00-0036290,Cole Kmet,CHI,TE,TE,ACT,6,2020,True
2026,1,00-0040126,Colston Loveland,CHI,TE,TE,ACT,1,2025,True
2026,1,00-0041170,Hayden Large,CHI,TE,TE,ACT,0,2026,False
2026,1,00-0037031,Nikola Kalinic,CHI,TE,TE,RES,4,2022,False
2026,1,00-0039843,Qadir Ismail,CHI,TE,TE,ACT,2,2024,False
2026,1,00-0041558,Sam Roush,CHI,TE,TE,ACT,0,2026,False
2026,1,00-0035039,Stephen Carlson,CHI,TE,TE,ACT,7,2019,True
2026,1,00-0040275,JP Richardson,CHI,WR,WR,ACT,1,2025,False
2026,1,00-0040277,Jahdae Walker,CHI,WR,WR,ACT,1,2025,True
2026,1,00-0037380,Kaden Davis,CHI,WR,WR,ACT,4,2022,False
2026,1,00-0032464,Kalif Raymond,CHI,WR,WR,ACT,10,2016,True
2026,1,00-0041407,Kyron Hudson,CHI,WR,WR,CUT,0,2026,False
2026,1,00-0040735,Luther Burden III,CHI,WR,WR,ACT,1,2025,True
2026,1,00-0037708,Maurice Alexander,CHI,WR,WR,ACT,6,2022,True
2026,1,00-0041168,Omari Kelly,CHI,WR,WR,ACT,0,2026,False
2026,1,00-0034407,Ray-Ray McCloud,CHI,WR,WR,ACT,8,2018,False
2026,1,00-0039919,Rome Odunze,CHI,WR,WR,ACT,2,2024,True
2026,1,00-0035298,Scott Miller,CHI,WR,WR,ACT,7,2019,True
2026,1,00-0041265,Squirrel White,CHI,WR,WR,RET,0,2026,False
2026,1,00-0041051,Zavion Thomas,CHI,WR,WR,ACT,0,2026,False
2026,1,00-0036442,Joe Burrow,CIN,QB,QB,ACT,6,2020,True
2026,1,00-0026158,Joe Flacco,CIN,QB,QB,ACT,18,2008,True
2026,1,00-0026300,Josh Johnson,CIN,QB,QB,ACT,18,2008,True
2026,1,00-0038391,Sean Clifford,CIN,QB,QB,ACT,3,2023,True
2026,1,00-0038597,Chase Brown,CIN,RB,RB,ACT,3,2023,True
2026,1,00-0036569,Gary Brightwell,CIN,RB,RB,ACT,5,2021,True
2026,1,00-0041244,Jamal Haynes,CIN,RB,RB,ACT,0,2026,False
2026,1,00-0039266,Kendall Milton,CIN,RB,RB,ACT,2,2024,True
2026,1,00-0041241,Kentrel Bullock,CIN,RB,RB,ACT,0,2026,False
2026,1,00-0033526,Samaje Perine,CIN,RB,RB,ACT,9,2017,True
2026,1,00-0040208,Tahj Brooks,CIN,RB,RB,ACT,1,2025,True
2026,1,00-0039631,Cam Grandy,CIN,TE,TE,ACT,2,2024,True
2026,1,00-0035631,Drew Sample,CIN,TE,TE,ACT,7,2019,True
2026,1,00-0039814,Erick All,CIN,TE,TE,ACT,2,2024,True
2026,1,00-0041116,Jack Endries,CIN,TE,TE,ACT,0,2026,False
2026,1,00-0041246,Josh Kattus,CIN,TE,TE,ACT,0,2026,False
2026,1,00-0034829,Mike Gesicki,CIN,TE,TE,ACT,8,2018,True
2026,1,00-0034613,Tanner Hudson,CIN,TE,TE,ACT,8,2018,True
2026,1,00-0038619,Andrei Iosivas,CIN,WR,WR,ACT,3,2023,True
2026,1,00-0038576,Charlie Jones,CIN,WR,WR,ACT,3,2023,True
2026,1,00-0041069,Colbie Young,CIN,WR,WR,ACT,0,2026,False
2026,1,00-0040785,Dohnte Meyers,CIN,WR,WR,ACT,0,2026,False
2026,1,00-0036900,Ja'Marr Chase,CIN,WR,WR,ACT,5,2021,True
2026,1,00-0040375,Jordan Moore,CIN,WR,WR,ACT,1,2025,False
2026,1,00-0040534,Ke'Shawn Williams,CIN,WR,WR,ACT,1,2025,True
2026,1,00-0037422,Kendric Pryor,CIN,WR,WR,ACT,4,2022,True
2026,1,00-0038839,Mitchell Tinsley,CIN,WR,WR,ACT,3,2023,True
2026,1,00-0041248,Noah Thomas,CIN,WR,WR,ACT,0,2026,False
2026,1,00-0036410,Tee Higgins,CIN,WR,WR,ACT,6,2020,True
2026,1,00-0039473,Xavier Johnson,CIN,WR,WR,ACT,2,2024,False
2026,1,00-0033537,Deshaun Watson,CLE,QB,QB,ACT,9,2017,True
2026,1,00-0040704,Dillon Gabriel,CLE,QB,QB,ACT,1,2025,True
2026,1,00-0040668,Shedeur Sanders,CLE,QB,QB,ACT,1,2025,True
2026,1,00-0041092,Taylen Green,CLE,QB,QB,ACT,0,2026,False
2026,1,00-0040260,Ahmani Marshall,CLE,RB,RB,ACT,1,2025,False
2026,1,00-0041277,Davon Booth,CLE,RB,RB,ACT,0,2026,False
2026,1,00-0040162,Dylan Sampson,CLE,RB,RB,ACT,1,2025,True
2026,1,00-0031595,Michael Burton,CLE,RB,FB,ACT,11,2015,True
2026,1,00-0040784,Quinshon Judkins,CLE,RB,RB,ACT,1,2025,True
2026,1,00-0040466,Raheim Sanders,CLE,RB,RB,ACT,1,2025,True
2026,1,00-0041281,T.J. Harden,CLE,RB,RB,CUT,0,2026,False
2026,1,00-0038710,Blake Whiteheart,CLE,TE,TE,ACT,3,2023,True
2026,1,00-0039458,Brenden Bates,CLE,TE,TE,CUT,2,2024,True
2026,1,00-0041131,Carsen Ryan,CLE,TE,TE,ACT,0,2026,False
2026,1,00-0041576,Drew Biber,CLE,TE,TE,CUT,0,2026,False
2026,1,00-0040663,Harold Fannin Jr.,CLE,TE,TE,ACT,1,2025,True
2026,1,00-0036741,Jack Stoll,CLE,TE,TE,CUT,5,2021,True
2026,1,00-0040457,Jermaine Terry,CLE,TE,TE,CUT,1,2025,False
2026,1,00-0041087,Joe Royer,CLE,TE,TE,ACT,0,2026,False
2026,1,00-0041491,Aaron Anderson,CLE,WR,WR,ACT,0,2026,False
2026,1,00-0041215,Ben Patterson,CLE,WR,WR,CUT,0,2026,False
2026,1,00-0038979,Cedric Tillman,CLE,WR,WR,CUT,3,2023,True
2026,1,00-0041037,Denzel Boston,CLE,WR,WR,ACT,0,2026,False
2026,1,00-0040259,Gage Larvadain,CLE,WR,WR,ACT,1,2025,True
2026,1,00-0040782,Isaiah Bond,CLE,WR,WR,ACT,1,2025,True
2026,1,00-0039379,Jamari Thrash,CLE,WR,WR,RES,2,2024,True
2026,1,00-0036407,Jerry Jeudy,CLE,WR,WR,ACT,6,2020,True
2026,1,00-0041547,KC Concepcion,CLE,WR,WR,ACT,0,2026,False
2026,1,00-0041287,Kole Wilson,CLE,WR,WR,ACT,0,2026,False
2026,1,00-0040617,Luke Floriea,CLE,WR,WR,ACT,1,2025,False
2026,1,00-0039920,Malachi Corley,CLE,WR,WR,ACT,2,2024,True
2026,1,00-0036630,Tylan Wallace,CLE,WR,WR,ACT,5,2021,True
2026,1,00-0033077,Dak Prescott,DAL,QB,QB,ACT,10,2016,True
2026,1,00-0039398,Joe Milton III,DAL,QB,QB,ACT,2,2024,True
2026,1,00-0037077,Sam Howell,DAL,QB,QB,ACT,4,2022,True
2026,1,00-0038738,Hunter Luepke,DAL,RB,FB,ACT,3,2023,True
2026,1,00-0038389,Israel Abanikanda,DAL,RB,RB,ACT,3,2023,True
2026,1,00-0037410,Jashaun Corbin,DAL,RB,RB,ACT,4,2022,False
2026,1,00-0036997,Javonte Williams,DAL,RB,RB,ACT,5,2021,True
2026,1,00-0040586,Jaydon Blue,DAL,RB,RB,ACT,1,2025,True
2026,1,00-0037563,Malik Davis,DAL,RB,RB,ACT,4,2022,True
2026,1,00-0040021,Phil Mafah,DAL,RB,RB,ACT,1,2025,True
2026,1,00-0039530,Brevyn Spann-Ford,DAL,TE,TE,ACT,2,2024,True
2026,1,00-0040938,DJ Rogers,DAL,TE,TE,ACT,0,2026,False
2026,1,00-0038041,Jake Ferguson,DAL,TE,TE,ACT,4,2022,True
2026,1,00-0038547,Luke Schoonmaker,DAL,TE,TE,ACT,3,2023,True
2026,1,00-0040939,Michael Trigg,DAL,TE,TE,ACT,0,2026,False
2026,1,00-0040702,Mitch Van Vooren,DAL,TE,TE,ACT,1,2025,False
2026,1,00-0038735,Princeton Fant,DAL,TE,TE,RES,3,2023,False
2026,1,00-0038406,Zack Kuntz,DAL,TE,TE,ACT,3,2023,False
2026,1,00-0040900,Anthony Smith,DAL,WR,WR,ACT,0,2026,False
2026,1,00-0040930,Camden Brown,DAL,WR,WR,ACT,0,2026,False
2026,1,00-0036358,CeeDee Lamb,DAL,WR,WR,ACT,6,2020,True
2026,1,00-0036255,Denzel Mims,DAL,WR,WR,ACT,6,2020,False
2026,1,00-0037247,George Pickens,DAL,WR,WR,ACT,4,2022,True
2026,1,00-0040769,Jaden Smith,DAL,WR,WR,ACT,1,2025,False
2026,1,00-0039062,Jonathan Mingo,DAL,WR,WR,ACT,3,2023,True
2026,1,00-0040934,Jordan Hudson,DAL,WR,WR,ACT,0,2026,False
2026,1,00-0037801,KaVontae Turpin,DAL,WR,WR,ACT,7,2022,True
