candidate_id,player,team,opponent,market_type,side,line,price,break_even_probability,stress_probability,lcb_probability,stress_edge,lcb_edge,edge_defendability_tier,forecastability_tier,structural_mispricing_tier,similar_state_reliability_tier,safe_state_tier,primary_blocker,root_cause,recommended_action,settlement_status,explanation,warning_badges,shadow_only,promotion_ready
candidate::2026-05-28|chet_holmgren|PTS|UNDER|14.0000,Chet_Holmgren,OKC,SAS,PTS_UNDER,UNDER,14.0,-115.5,0.5359628770301624,0.6120767504994123,0.5657441751774572,0.0761138734692499,0.0297812981472948,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_USAGE_STATE,INSUFFICIENT_COMPARABLE_STATES,NEEDS_MORE_SAMPLE,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'NEEDS_MORE_SAMPLE', 'PRICE_DEFENDABLE', 'USAGE_ROLE_SHIFT']",True,False
candidate::2026-05-28|alex_caruso|TRB|UNDER|2.5000,Alex_Caruso,OKC,SAS,TRB_UNDER,UNDER,2.5,125.0,0.4444444444444444,0.6178544354098965,0.5508300165537074,0.173409990965452,0.106385572109263,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|stephon_castle|PTS|UNDER|17.5000,Stephon_Castle,SAS,OKC,PTS_UNDER,UNDER,17.5,-121.5,0.5485327313769752,0.6034697152614108,0.5657441751774572,0.0549369838844355,0.017211443800482,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_ROLE_STATE,REAL_USAGE_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|chet_holmgren|TRB|UNDER|7.5000,Chet_Holmgren,OKC,SAS,TRB_UNDER,UNDER,7.5,1.5,0.9852216748768472,0.6030465774015977,0.5508300165537074,-0.3821750974752496,-0.4343916583231398,EDGE_UNTRUSTED_PRICE,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_UNTRUSTED_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: invalid_market_side_price;forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,['PRICE_UNTRUSTED'],True,False
candidate::2026-05-28|jalen_williams|PTS|OVER|13.5000,Jalen_Williams,OKC,SAS,PTS_OVER,OVER,13.5,-105.0,0.5121951219512195,0.6000345772754165,0.5657441751774572,0.087839455324197,0.0535490532262377,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|luke_kornet|PTS|UNDER|2.5000,Luke_Kornet,SAS,OKC,PTS_UNDER,UNDER,2.5,-130.5,0.5661605206073753,0.611255904234783,0.5657441751774572,0.0450953836274077,-0.000416345429918,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
candidate::2026-05-28|cason_wallace|PTS|UNDER|8.5000,Cason_Wallace,OKC,SAS,PTS_UNDER,UNDER,8.5,-128.5,0.562363238512035,0.5996292654872761,0.5657441751774572,0.0372660269752411,0.0033809366654222,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|cason_wallace|TRB|UNDER|3.5000,Cason_Wallace,OKC,SAS,TRB_UNDER,UNDER,3.5,-151.0,0.601593625498008,0.5975906626566535,0.5508300165537074,-0.0040029628413544,-0.0507636089443005,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
candidate::2026-05-28|julian_champagnie|TRB|UNDER|5.5000,Julian_Champagnie,SAS,OKC,TRB_UNDER,UNDER,5.5,-5.0,0.0476190476190476,0.5923897434740291,0.5508300165537074,0.5447706958549814,0.5032109689346598,EDGE_UNTRUSTED_PRICE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_UNTRUSTED_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: invalid_market_side_price;forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,['PRICE_UNTRUSTED'],True,False
candidate::2026-05-28|de_aaron_fox|TRB|OVER|3.5000,DeAaron_Fox,SAS,OKC,TRB_OVER,OVER,3.5,-138.0,0.5798319327731093,0.5864262741638707,0.5508300165537074,0.0065943413907614,-0.0290019162194018,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
