game_id,date,home_team,away_team,home_score,away_score,home_won,total_points,home_q1,home_q2,home_q3,home_q4,away_q1,away_q2,away_q3,away_q4,home_first_half,away_first_half,first_half_total,market_book,market_spread,market_spread_favorite_home,market_total,market_home_moneyline,market_away_moneyline
401810791,2026-03-10,PHI,MEM,139.0,129.0,1,268.0,32.0,36.0,30.0,41.0,32.0,39.0,33.0,25.0,68.0,71.0,139.0,DraftKings,-4.5,True,229.5,-192,160
401810792,2026-03-10,BKN,DET,100.0,138.0,0,238.0,27.0,13.0,33.0,27.0,38.0,35.0,32.0,33.0,40.0,73.0,113.0,DraftKings,15.5,False,216.5,700,-1100
401810793,2026-03-10,MIA,WSH,150.0,129.0,1,279.0,40.0,36.0,37.0,37.0,29.0,33.0,35.0,32.0,76.0,62.0,138.0,DraftKings,-15.5,True,235.5,-1200,750
401810794,2026-03-10,ATL,DAL,124.0,112.0,1,236.0,40.0,24.0,31.0,29.0,26.0,27.0,38.0,21.0,64.0,53.0,117.0,DraftKings,-9.5,True,240.5,-425,330
401810795,2026-03-11,HOU,TOR,113.0,99.0,1,212.0,29.0,29.0,28.0,27.0,29.0,20.0,34.0,16.0,58.0,49.0,107.0,DraftKings,-4.5,True,220.5,-192,160
401810796,2026-03-11,MIL,PHX,114.0,129.0,0,243.0,30.0,35.0,32.0,17.0,36.0,26.0,38.0,29.0,65.0,62.0,127.0,DraftKings,2.5,False,219.5,110,-130
401810797,2026-03-11,SA,BOS,125.0,116.0,1,241.0,29.0,29.0,39.0,28.0,31.0,27.0,32.0,26.0,58.0,58.0,116.0,DraftKings,-3.5,True,221.5,-162,136
401810798,2026-03-11,GS,CHI,124.0,130.0,0,254.0,30.0,21.0,32.0,35.0,26.0,31.0,32.0,29.0,51.0,57.0,108.0,DraftKings,-6.5,True,227.5,-238,195
401810799,2026-03-11,POR,CHA,101.0,103.0,0,204.0,34.0,21.0,27.0,19.0,20.0,26.0,32.0,25.0,55.0,46.0,101.0,DraftKings,3.5,False,227.5,130,-155
401810800,2026-03-11,SAC,IND,114.0,109.0,1,223.0,24.0,18.0,30.0,42.0,25.0,34.0,23.0,27.0,42.0,59.0,101.0,DraftKings,-3.5,True,236.5,-162,136
401810801,2026-03-11,LAL,MIN,120.0,106.0,1,226.0,16.0,29.0,39.0,36.0,21.0,24.0,23.0,38.0,45.0,45.0,90.0,DraftKings,2.5,False,229.5,120,-142
401810802,2026-03-11,ORL,CLE,128.0,122.0,1,250.0,38.0,24.0,34.0,32.0,35.0,27.0,27.0,33.0,62.0,62.0,124.0,DraftKings,3.5,False,226.5,130,-155
401810803,2026-03-12,NO,TOR,122.0,111.0,1,233.0,29.0,31.0,33.0,29.0,30.0,28.0,25.0,28.0,60.0,58.0,118.0,DraftKings,2.5,False,235.5,120,-142
401810804,2026-03-12,UTAH,NY,117.0,134.0,0,251.0,41.0,24.0,29.0,23.0,26.0,30.0,40.0,38.0,65.0,56.0,121.0,DraftKings,13.5,False,231.5,650,-1000
401810805,2026-03-12,DEN,HOU,129.0,93.0,1,222.0,24.0,29.0,40.0,36.0,20.0,27.0,22.0,24.0,53.0,47.0,100.0,DraftKings,-6.5,True,232.5,-265,215
401810806,2026-03-12,SAC,CHA,109.0,117.0,0,226.0,34.0,28.0,23.0,24.0,30.0,29.0,31.0,27.0,62.0,59.0,121.0,DraftKings,14.5,False,224.5,650,-1000
401810807,2026-03-12,LAC,MIN,153.0,128.0,1,281.0,38.0,36.0,35.0,44.0,27.0,38.0,33.0,30.0,74.0,65.0,139.0,DraftKings,-1.5,True,226.5,-115,-105
401810808,2026-03-12,DET,PHI,131.0,109.0,1,240.0,36.0,33.0,35.0,27.0,27.0,33.0,21.0,28.0,69.0,60.0,129.0,DraftKings,-14.5,True,224.5,-1050,675
401810809,2026-03-12,IND,PHX,108.0,123.0,0,231.0,36.0,25.0,27.0,20.0,36.0,31.0,29.0,27.0,61.0,67.0,128.0,DraftKings,9.5,False,222.5,320,-410
401810810,2026-03-12,ORL,WSH,136.0,131.0,1,267.0,36.0,27.0,33.0,27.0,26.0,30.0,25.0,42.0,63.0,56.0,119.0,DraftKings,-14.5,True,236.5,-950,625
401810811,2026-03-12,ATL,BKN,108.0,97.0,1,205.0,30.0,27.0,25.0,26.0,21.0,29.0,29.0,18.0,57.0,50.0,107.0,DraftKings,-15.5,True,226.5,-1200,750
401810812,2026-03-12,MIA,MIL,112.0,105.0,1,217.0,31.0,28.0,26.0,27.0,21.0,30.0,26.0,28.0,59.0,51.0,110.0,DraftKings,-5.5,True,233.5,-218,180
401810966,2026-03-13,MEM,DAL,112.0,120.0,0,232.0,22.0,32.0,30.0,28.0,34.0,31.0,21.0,34.0,54.0,65.0,119.0,DraftKings,5.5,False,239.5,180,-218
401810813,2026-03-13,SA,DEN,131.0,136.0,0,267.0,37.0,32.0,37.0,25.0,25.0,28.0,41.0,42.0,69.0,53.0,122.0,DraftKings,-3.5,True,241.5,-155,130
401810814,2026-03-13,OKC,BOS,104.0,102.0,1,206.0,27.0,29.0,24.0,24.0,28.0,31.0,24.0,19.0,56.0,59.0,115.0,DraftKings,-8.5,True,216.5,-345,275
401810815,2026-03-13,LAL,CHI,142.0,130.0,1,272.0,26.0,41.0,41.0,34.0,26.0,36.0,36.0,32.0,67.0,62.0,129.0,DraftKings,-10.5,True,240.5,-575,425
401810816,2026-03-13,DET,MEM,126.0,110.0,1,236.0,37.0,31.0,30.0,28.0,35.0,26.0,23.0,26.0,68.0,61.0,129.0,DraftKings,-16.5,True,233.5,-1600,900
401810817,2026-03-13,IND,NY,92.0,101.0,0,193.0,21.0,24.0,29.0,18.0,24.0,32.0,20.0,25.0,45.0,56.0,101.0,DraftKings,12.5,False,228.5,490,-675
401810818,2026-03-13,TOR,PHX,122.0,115.0,1,237.0,30.0,29.0,27.0,36.0,28.0,34.0,30.0,23.0,59.0,62.0,121.0,DraftKings,-5.5,True,221.5,-205,170
401810820,2026-03-13,DAL,CLE,105.0,138.0,0,243.0,21.0,29.0,33.0,22.0,38.0,29.0,41.0,30.0,50.0,67.0,117.0,DraftKings,13.5,False,236.5,500,-700
401810819,2026-03-14,HOU,NO,107.0,105.0,1,212.0,28.0,29.0,23.0,27.0,24.0,25.0,23.0,33.0,57.0,49.0,106.0,DraftKings,-5.5,True,230.5,-225,185
401810821,2026-03-14,GS,MIN,117.0,127.0,0,244.0,28.0,20.0,39.0,30.0,31.0,38.0,31.0,27.0,48.0,69.0,117.0,DraftKings,4.5,False,224.5,170,-205
401810822,2026-03-14,POR,UTAH,124.0,114.0,1,238.0,28.0,38.0,29.0,29.0,38.0,20.0,31.0,25.0,66.0,58.0,124.0,DraftKings,-15.5,True,235.5,-1200,750
401810823,2026-03-14,LAC,CHI,119.0,108.0,1,227.0,33.0,30.0,29.0,27.0,28.0,29.0,28.0,23.0,63.0,57.0,120.0,DraftKings,-13.5,True,235.5,-850,575
401810824,2026-03-14,PHI,BKN,104.0,97.0,1,201.0,29.0,24.0,24.0,27.0,16.0,15.0,25.0,41.0,53.0,31.0,84.0,DraftKings,-8.5,True,217.5,-380,300
401810825,2026-03-14,ATL,MIL,122.0,99.0,1,221.0,31.0,29.0,35.0,27.0,30.0,22.0,26.0,21.0,60.0,52.0,112.0,DraftKings,-11.5,True,228.5,-500,380
401810828,2026-03-14,SA,CHA,115.0,102.0,1,217.0,31.0,28.0,32.0,24.0,24.0,22.0,37.0,19.0,59.0,46.0,105.0,DraftKings,-6.5,True,232.5,-245,200
401810826,2026-03-14,BOS,WSH,111.0,100.0,1,211.0,29.0,35.0,29.0,18.0,27.0,14.0,31.0,28.0,64.0,41.0,105.0,DraftKings,-20.5,True,232.5,-2400,1200
401810827,2026-03-15,MIA,ORL,117.0,121.0,0,238.0,27.0,28.0,28.0,34.0,41.0,30.0,27.0,23.0,55.0,71.0,126.0,DraftKings,-4.5,True,236.5,-185,154
401810829,2026-03-15,LAL,DEN,127.0,125.0,1,252.0,34.0,27.0,26.0,31.0,26.0,24.0,37.0,31.0,61.0,50.0,111.0,DraftKings,1.5,False,244.5,102,-122
401810830,2026-03-15,LAC,SAC,109.0,118.0,0,227.0,31.0,23.0,21.0,34.0,33.0,35.0,24.0,26.0,54.0,68.0,122.0,DraftKings,-13.5,True,231.5,-950,625
401810831,2026-03-15,OKC,MIN,116.0,103.0,1,219.0,23.0,24.0,33.0,36.0,22.0,31.0,23.0,27.0,47.0,53.0,100.0,DraftKings,-8.5,True,227.5,-380,300
401810832,2026-03-15,CLE,DAL,120.0,130.0,0,250.0,31.0,28.0,27.0,34.0,35.0,25.0,40.0,30.0,59.0,60.0,119.0,DraftKings,-14.5,True,233.5,-1200,750
401810833,2026-03-15,TOR,DET,119.0,108.0,1,227.0,33.0,26.0,34.0,26.0,32.0,32.0,17.0,27.0,59.0,64.0,123.0,DraftKings,3.5,False,224.5,130,-155
401810834,2026-03-15,MIL,IND,134.0,123.0,1,257.0,26.0,36.0,40.0,32.0,34.0,31.0,31.0,27.0,62.0,65.0,127.0,DraftKings,-7.5,True,227.5,-298,240
401810835,2026-03-15,PHI,POR,109.0,103.0,1,212.0,30.0,23.0,29.0,27.0,27.0,27.0,22.0,27.0,53.0,54.0,107.0,DraftKings,8.5,False,228.5,270,-340
401810836,2026-03-16,NY,GS,110.0,107.0,1,217.0,21.0,24.0,38.0,27.0,35.0,19.0,26.0,27.0,45.0,54.0,99.0,DraftKings,-14.5,True,218.5,-950,625
401810837,2026-03-16,SAC,UTAH,116.0,111.0,1,227.0,26.0,28.0,35.0,27.0,28.0,21.0,39.0,23.0,54.0,49.0,103.0,DraftKings,-3.5,True,230.5,-162,136
401810838,2026-03-16,ATL,ORL,124.0,112.0,1,236.0,34.0,33.0,37.0,20.0,21.0,29.0,33.0,29.0,67.0,50.0,117.0,DraftKings,-3.5,True,232.5,-155,130
401810839,2026-03-16,WSH,GS,117.0,125.0,0,242.0,23.0,34.0,29.0,31.0,34.0,30.0,34.0,27.0,57.0,64.0,121.0,DraftKings,7.5,False,234.5,250,-310
401810840,2026-03-16,BKN,POR,95.0,114.0,0,209.0,20.0,21.0,24.0,30.0,35.0,30.0,26.0,23.0,41.0,65.0,106.0,DraftKings,10.5,False,221.5,390,-520
401810841,2026-03-16,BOS,PHX,120.0,112.0,1,232.0,31.0,34.0,26.0,29.0,32.0,29.0,25.0,26.0,65.0,61.0,126.0,DraftKings,-8.5,True,216.5,-375,295
401810842,2026-03-17,CHI,MEM,132.0,107.0,1,239.0,29.0,32.0,36.0,35.0,27.0,30.0,29.0,21.0,61.0,57.0,118.0,DraftKings,-7.5,True,243.5,-278,225
401810843,2026-03-17,NO,DAL,129.0,111.0,1,240.0,32.0,35.0,36.0,26.0,26.0,28.0,32.0,25.0,67.0,54.0,121.0,DraftKings,-8.5,True,240.5,-340,270
401810844,2026-03-17,HOU,LAL,92.0,100.0,0,192.0,28.0,29.0,23.0,12.0,29.0,22.0,32.0,17.0,57.0,51.0,108.0,DraftKings,1.5,False,223.5,-102,-118
401810845,2026-03-17,LAC,SA,115.0,119.0,0,234.0,37.0,15.0,30.0,33.0,29.0,37.0,26.0,27.0,52.0,66.0,118.0,DraftKings,8.5,False,234.5,270,-340
401810846,2026-03-17,CHA,MIA,136.0,106.0,1,242.0,26.0,33.0,37.0,40.0,24.0,33.0,31.0,18.0,59.0,57.0,116.0,DraftKings,-5.5,True,236.5,-205,170
401810847,2026-03-17,ORL,OKC,108.0,113.0,0,221.0,22.0,28.0,29.0,29.0,26.0,25.0,34.0,28.0,50.0,51.0,101.0,DraftKings,9.5,False,224.5,350,-455
401810848,2026-03-17,WSH,DET,117.0,130.0,0,247.0,32.0,25.0,26.0,34.0,32.0,31.0,37.0,30.0,57.0,63.0,120.0,DraftKings,19.5,False,233.5,1100,-2100
401810849,2026-03-17,NY,IND,136.0,110.0,1,246.0,38.0,34.0,33.0,31.0,34.0,30.0,27.0,19.0,72.0,64.0,136.0,DraftKings,-13.5,True,222.5,-800,550
401810850,2026-03-18,MIL,CLE,116.0,123.0,0,239.0,24.0,34.0,29.0,29.0,37.0,20.0,28.0,38.0,58.0,57.0,115.0,DraftKings,12.5,False,226.5,455,-625
401810851,2026-03-18,MIN,PHX,116.0,104.0,1,220.0,36.0,28.0,28.0,24.0,39.0,24.0,23.0,18.0,64.0,63.0,127.0,DraftKings,-3.5,True,221.5,-170,142
401810852,2026-03-18,DEN,PHI,124.0,96.0,1,220.0,38.0,34.0,28.0,24.0,22.0,18.0,31.0,25.0,72.0,40.0,112.0,DraftKings,-15.5,True,235.5,-1200,750
401810853,2026-03-18,SAC,SA,104.0,132.0,0,236.0,22.0,25.0,34.0,23.0,39.0,39.0,34.0,20.0,47.0,78.0,125.0,DraftKings,13.5,False,233.5,575,-850
401810854,2026-03-18,BOS,GS,120.0,99.0,1,219.0,36.0,27.0,26.0,31.0,23.0,27.0,23.0,26.0,63.0,50.0,113.0,DraftKings,-11.5,True,216.5,-625,455
401810855,2026-03-18,BKN,OKC,92.0,121.0,0,213.0,11.0,13.0,31.0,37.0,28.0,32.0,31.0,30.0,24.0,60.0,84.0,DraftKings,19.5,False,216.5,1200,-2400
401810856,2026-03-18,IND,POR,119.0,127.0,0,246.0,33.0,29.0,24.0,33.0,37.0,42.0,26.0,22.0,62.0,79.0,141.0,DraftKings,11.5,False,233.5,490,-675
401810857,2026-03-19,CHI,TOR,109.0,139.0,0,248.0,17.0,28.0,31.0,33.0,32.0,40.0,36.0,31.0,45.0,72.0,117.0,DraftKings,7.5,False,237.5,235,-290
401810859,2026-03-19,MIN,UTAH,147.0,111.0,1,258.0,43.0,29.0,38.0,37.0,31.0,27.0,26.0,27.0,72.0,58.0,130.0,DraftKings,-12.5,True,231.5,-800,550
401810860,2026-03-19,NO,LAC,124.0,109.0,1,233.0,26.0,34.0,36.0,28.0,40.0,20.0,25.0,24.0,60.0,60.0,120.0,DraftKings,2.5,False,236.5,110,-130
401810861,2026-03-19,DAL,ATL,120.0,135.0,0,255.0,30.0,26.0,26.0,38.0,37.0,30.0,34.0,34.0,56.0,67.0,123.0,DraftKings,8.5,False,239.5,260,-325
401858693,2026-03-19,MEM,DEN,125.0,118.0,1,243.0,31.0,29.0,39.0,26.0,30.0,30.0,31.0,27.0,60.0,60.0,120.0,DraftKings,12.5,False,246.5,525,-750
