shape,mean_oof_brier,std_oof_brier,n_folds,quadratic_coef_sign_consistency,mean_quadratic_coef
quadratic,0.24314573261833725,0.006080760709030879,8,1.0,-0.17488326362495876
log,0.24322582025950693,0.006230768027174321,8,,
linear,0.24329406935717687,0.006193015086538471,8,,
