score_name,n_dates,n_rows_total,pool_hit_rate_mean_of_days,top1_hit_rate,top1_n_dates,top2_hit_rate,top2_n_dates,top_decile_hit_rate,top_decile_n_dates,top_quintile_hit_rate,top_quintile_n_dates,top1_lift_vs_pool,top2_lift_vs_pool,top1_day_clustered_95_one_sided_lb
current_probability_ranking,8,1432,0.5717055618470732,0.375,8,0.375,8,0.6060398391812865,8,0.6042248798571006,8,-0.19670556184707322,-0.19670556184707322,0.125
raw_bias_corrected_edge,8,1432,0.5717055618470732,0.375,8,0.4375,8,0.6328947368421053,8,0.620563134029116,8,-0.19670556184707322,-0.13420556184707322,0.125
q_edge_over_rmse,8,1432,0.5717055618470732,0.625,8,0.5,8,0.5806926169590644,8,0.6160188648795838,8,0.05329443815292678,-0.07170556184707322,0.375
H_OVER_RANKER_V1_candidate,8,1432,0.5717055618470732,0.875,8,0.875,8,0.6594389619883041,8,0.6511366343587139,8,0.3032944381529268,0.3032944381529268,0.625
