provider_name,snapshot_time_utc,game_id,player,market,line,book,side,odds,no_vig,consensus,book_vs_consensus_gap,market_dispersion,time_to_lock
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,espnbet,OVER,-115,0.5348837209302325,0.5218949761220455,0.012988744808187014,0.05764966740576494,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,betmgm,OVER,-120,0.5454545454545454,0.5218949761220455,0.02355956933249992,0.05764966740576494,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,draftkings,UNDER,-131,0.5670995670995671,0.5496291956916167,0.01747037140795038,0.0680272108843537,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,fanduel,UNDER,-113,0.5305164319248826,0.5496291956916167,-0.019112763766734098,0.0680272108843537,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,bovada,UNDER,-145,0.5918367346938775,0.5496291956916167,0.04220753900226082,0.0680272108843537,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,espnbet,UNDER,-115,0.5348837209302325,0.5496291956916167,-0.014745474761384214,0.0680272108843537,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,AST,2.5,betmgm,UNDER,-110,0.5238095238095238,0.5496291956916167,-0.025819671882092887,0.0680272108843537,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,draftkings,OVER,-121,0.5475113122171946,0.5471639579216522,0.0003473542955424458,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,fanduel,OVER,-113,0.5305164319248826,0.5471639579216522,-0.016647525996769552,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,caesars,OVER,-118,0.5412844036697247,0.5471639579216522,-0.005879554251927432,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,bovada,OVER,-120,0.5454545454545454,0.5471639579216522,-0.0017094124671067634,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,espnbet,OVER,-115,0.5348837209302325,0.5471639579216522,-0.012280236991419669,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,betmgm,OVER,-140,0.5833333333333334,0.5471639579216522,0.03616937541168119,0.052816901408450745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,draftkings,UNDER,-109,0.5215311004784688,0.5211412569973902,0.0003898434810786222,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,fanduel,UNDER,-113,0.5305164319248826,0.5211412569973902,0.009375174927492402,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,caesars,UNDER,-112,0.5283018867924528,0.5211412569973902,0.007160629795062601,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,bovada,UNDER,-110,0.5238095238095238,0.5211412569973902,0.002668266812133613,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,espnbet,UNDER,-115,0.5348837209302325,0.5211412569973902,0.013742463932842286,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,AST,3.5,betmgm,UNDER,105,0.4878048780487805,0.5211412569973902,-0.033336378948609746,0.04707884288145203,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,draftkings,OVER,122,0.45045045045045046,0.44579725261248976,0.004653197837960699,0.03437738731856377,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,fanduel,OVER,120,0.45454545454545453,0.44579725261248976,0.008748201932964772,0.03437738731856377,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,caesars,OVER,127,0.44052863436123346,0.44579725261248976,-0.005268618251256296,0.03437738731856377,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,bovada,OVER,120,0.45454545454545453,0.44579725261248976,0.008748201932964772,0.03437738731856377,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,espnbet,OVER,120,0.45454545454545453,0.44579725261248976,0.008748201932964772,0.03437738731856377,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,betmgm,OVER,138,0.42016806722689076,0.44579725261248976,-0.025629185385598996,0.03437738731856377,
