iter	Passed	Remaining
0	41	12265
1	82	12342
2	115	11457
3	159	11829
4	189	11209
5	220	10781
6	250	10490
7	282	10299
8	313	10138
9	362	10503
10	396	10414
11	438	10526
12	471	10400
13	516	10555
14	555	10546
15	594	10549
16	629	10481
17	674	10564
18	705	10431
19	752	10539
20	787	10460
21	828	10465
22	859	10356
23	905	10418
24	936	10303
25	986	10393
26	1020	10317
27	1063	10326
28	1098	10265
29	1140	10264
30	1174	10189
31	1220	10218
32	1255	10159
33	1296	10144
34	1327	10053
35	1368	10039
36	1399	9946
37	1431	9873
38	1462	9788
39	1492	9704
40	1524	9631
41	1555	9552
42	1588	9492
43	1622	9437
44	1651	9356
45	1682	9288
46	1709	9203
47	1736	9116
48	1768	9061
49	1801	9007
50	1832	8944
51	1864	8893
52	1894	8829
53	1926	8776
54	1948	8681
55	1975	8607
56	2018	8606
57	2061	8600
58	2096	8565
59	2131	8525
60	2179	8538
61	2206	8471
62	2232	8397
63	2276	8394
64	2312	8361
65	2350	8332
66	2385	8295
67	2422	8265
68	2453	8215
69	2484	8164
70	2514	8109
71	2551	8080
72	2586	8042
73	2629	8029
74	2661	7985
75	2691	7933
76	2723	7887
77	2767	7875
78	2797	7825
79	2833	7791
80	2862	7740
81	2890	7684
82	2919	7631
83	2948	7580
84	2977	7531
85	3016	7507
86	3047	7460
87	3076	7412
88	3106	7363
89	3139	7326
90	3176	7294
91	3217	7273
92	3248	7230
93	3276	7179
94	3304	7130
95	3346	7111
96	3381	7076
97	3421	7052
98	3457	7019
99	3500	7001
100	3537	6970
101	3576	6941
102	3608	6901
103	3637	6855
104	3668	6812
105	3699	6770
106	3731	6730
107	3758	6682
108	3786	6635
109	3824	6605
110	3835	6531
111	3863	6484
112	3904	6462
113	3953	6450
114	4002	6438
115	4036	6402
116	4072	6370
117	4103	6329
118	4136	6292
119	4168	6252
120	4212	6232
121	4246	6196
122	4291	6175
123	4323	6137
124	4369	6117
125	4403	6081
126	4450	6062
127	4484	6026
128	4522	5995
129	4557	5959
130	4572	5898
131	4617	5876
132	4651	5840
133	4700	5822
134	4736	5788
135	4770	5752
136	4802	5713
137	4839	5681
138	4873	5644
139	4919	5622
140	4966	5600
141	4999	5563
142	5033	5526
143	5070	5492
144	5103	5454
145	5134	5416
146	5167	5378
147	5210	5350
148	5244	5314
149	5288	5288
150	5327	5257
151	5365	5224
152	5400	5188
153	5444	5161
154	5479	5125
155	5523	5098
156	5555	5060
157	5593	5026
158	5630	4992
159	5668	4960
160	5701	4922
161	5733	4884
162	5768	4848
163	5811	4819
164	5824	4765
165	5854	4725
166	5892	4692
167	5924	4655
168	5934	4599
169	5972	4567
170	6004	4529
171	6043	4497
172	6073	4458
173	6100	4417
174	6128	4377
175	6167	4345
176	6197	4306
177	6239	4276
178	6269	4238
179	6305	4203
180	6339	4168
181	6385	4140
182	6419	4104
183	6462	4074
184	6494	4037
185	6534	4004
186	6569	3969
187	6612	3939
188	6645	3902
189	6690	3873
190	6725	3837
191	6757	3801
192	6791	3765
193	6834	3734
194	6867	3697
195	6896	3659
196	6930	3623
197	6974	3592
198	7008	3556
199	7046	3523
200	7078	3486
201	7113	3451
202	7157	3420
203	7192	3384
204	7226	3348
205	7256	3311
206	7287	3273
207	7332	3243
208	7364	3206
209	7405	3173
210	7440	3138
211	7485	3107
212	7518	3071
213	7564	3039
214	7597	3003
215	7640	2971
216	7671	2934
217	7720	2903
218	7752	2867
219	7792	2833
220	7823	2796
221	7859	2761
222	7892	2725
223	7915	2685
224	7945	2648
225	7979	2612
226	8012	2576
227	8042	2539
228	8074	2503
229	8105	2466
230	8150	2434
231	8182	2398
232	8212	2361
233	8243	2325
234	8278	2289
235	8311	2254
236	8352	2220
237	8384	2184
238	8431	2151
239	8468	2117
240	8515	2084
241	8547	2048
242	8594	2015
243	8628	1980
244	8667	1945
245	8717	1913
246	8757	1879
247	8791	1843
248	8821	1806
249	8854	1770
250	8895	1736
251	8925	1700
252	8963	1665
253	8993	1628
254	9030	1593
255	9065	1558
256	9098	1522
257	9131	1486
258	9163	1450
259	9200	1415
260	9238	1380
261	9270	1344
262	9315	1310
263	9346	1274
264	9373	1237
265	9403	1201
266	9448	1167
267	9483	1132
268	9517	1096
269	9562	1062
270	9596	1026
271	9626	990
272	9660	955
273	9692	919
274	9735	885
275	9770	849
276	9818	815
277	9853	779
278	9895	744
279	9925	708
280	9953	673
281	9983	637
282	10017	601
283	10066	567
284	10107	531
285	10141	496
286	10187	461
287	10218	425
288	10265	390
289	10296	355
290	10329	319
291	10361	283
292	10402	248
293	10434	212
294	10470	177
295	10505	141
296	10542	106
297	10573	70
298	10619	35
299	10652	0
