iter	RMSE
0	2.520629356
1	2.469236962
2	2.421494984
3	2.376767353
4	2.335917755
5	2.2975527
6	2.262408151
7	2.231402024
8	2.201378516
9	2.173588499
10	2.147410753
11	2.124175493
12	2.102318867
13	2.082164662
14	2.06434782
15	2.047047427
16	2.030920974
17	2.016584313
18	2.003224596
19	1.99062417
20	1.979285313
21	1.969137024
22	1.959615674
23	1.950700993
24	1.942546066
25	1.935171851
26	1.927817682
27	1.921504465
28	1.915825789
29	1.910640666
30	1.905912937
31	1.901229363
32	1.896749882
33	1.892607199
34	1.889255881
35	1.885414692
36	1.882304142
37	1.878953447
38	1.875405759
39	1.871772261
40	1.868635121
41	1.865971888
42	1.863382057
43	1.860876435
44	1.858559516
45	1.856180816
46	1.854135213
47	1.852252862
48	1.850137893
49	1.848515757
50	1.847140554
51	1.845608938
52	1.844092424
53	1.842648076
54	1.84167223
55	1.840711433
56	1.839593917
57	1.838640285
58	1.83787922
59	1.837075491
60	1.836168294
61	1.835186438
62	1.834620822
63	1.833827433
64	1.832593238
65	1.831792611
66	1.831027669
67	1.830374485
68	1.829608007
69	1.82924562
70	1.828617907
71	1.82808712
72	1.827441322
73	1.826800764
74	1.826171731
75	1.825514037
76	1.825034252
77	1.824655691
78	1.8238086
79	1.823443574
80	1.822951123
81	1.82228674
82	1.821747585
83	1.821344276
84	1.82088326
85	1.820395951
86	1.820061563
87	1.819743803
88	1.81935133
89	1.818673065
90	1.818043648
91	1.817642643
92	1.817348246
93	1.817018931
94	1.816461674
95	1.816095337
96	1.815630754
97	1.815069551
98	1.814639594
99	1.814287952
100	1.813934573
101	1.813736634
102	1.813306205
103	1.813108173
104	1.812805124
105	1.812310489
106	1.81192189
107	1.811552295
108	1.811138144
109	1.810723533
110	1.810672593
111	1.810414981
112	1.810123606
113	1.809613473
114	1.809121381
115	1.808633203
116	1.808298972
117	1.808049952
118	1.807611376
119	1.807259173
120	1.806828054
121	1.806462615
122	1.806184404
123	1.805936967
124	1.805470678
125	1.805203431
126	1.804899447
127	1.804532837
128	1.804112841
129	1.803618783
130	1.803550175
131	1.803037127
132	1.80277766
133	1.802495939
134	1.802277
135	1.802078927
136	1.801614763
137	1.801223655
138	1.800947577
139	1.80065798
140	1.800378004
141	1.800105068
142	1.799724488
143	1.799316988
144	1.799009073
145	1.798679489
146	1.79847707
147	1.798016033
148	1.797684393
149	1.797341164
150	1.797129614
151	1.796668809
152	1.796326762
153	1.795868931
154	1.79550151
155	1.795065355
156	1.79480934
157	1.79445851
158	1.794139876
159	1.793911091
160	1.793483354
161	1.793221254
162	1.79302397
163	1.792684736
164	1.792684727
165	1.792480625
166	1.792233805
167	1.791811328
168	1.791803706
169	1.791164245
170	1.790740419
171	1.790237328
172	1.79008215
173	1.789742167
174	1.78951457
175	1.789285765
176	1.789144085
177	1.788877956
178	1.788682998
179	1.788436133
180	1.788178235
181	1.788013487
182	1.787611931
183	1.787165704
184	1.78681773
185	1.786697574
186	1.786355156
187	1.785506168
188	1.785222988
189	1.78481112
190	1.784393042
191	1.783902383
192	1.783294492
193	1.782917437
194	1.782353005
195	1.781979321
196	1.781743163
197	1.78134362
198	1.781066424
199	1.780688417
200	1.780083206
201	1.779918837
202	1.779471296
203	1.779092117
204	1.778769344
205	1.778300392
206	1.777902514
207	1.77723582
208	1.776807052
209	1.776577397
210	1.776473629
211	1.775846637
212	1.775694824
213	1.775366439
214	1.775218209
215	1.7748843
216	1.774542935
217	1.773982962
218	1.773660107
219	1.773150299
220	1.772820397
221	1.772476886
222	1.771931869
223	1.771916231
224	1.771432656
225	1.770931228
226	1.770541231
227	1.769962368
228	1.769931683
229	1.769345766
230	1.768796589
231	1.76830121
232	1.767471578
233	1.767435093
234	1.766991352
235	1.766685696
236	1.766659888
237	1.766547509
238	1.766520331
239	1.766099342
240	1.765783354
241	1.765552688
242	1.765287713
243	1.765262465
244	1.76463004
245	1.764604377
246	1.764223533
247	1.763973395
248	1.763695905
249	1.763308326
250	1.762986983
251	1.762812795
252	1.762370755
253	1.761490134
254	1.760903767
255	1.760877343
256	1.760346644
257	1.759975157
258	1.759696782
259	1.759451774
260	1.759055986
261	1.75828461
262	1.757575201
263	1.757170981
264	1.757149363
265	1.756384578
266	1.755941222
267	1.755558863
268	1.755253935
269	1.754520362
270	1.754120868
271	1.753729302
272	1.753377297
273	1.753352177
274	1.753332061
275	1.753101853
276	1.752507347
277	1.752318603
278	1.751828577
279	1.751695776
280	1.751337402
281	1.750723248
282	1.750393856
283	1.749924412
284	1.749633842
285	1.749287694
286	1.748804149
287	1.748292195
288	1.747687596
289	1.747340815
290	1.746808554
291	1.746221382
292	1.745892357
293	1.745778319
294	1.745476513
295	1.74519296
296	1.744747293
297	1.744354954
298	1.744335439
299	1.743802254
