event_date,player,market,side,line,actual,p_over,event_id,selected_probability,corrected_edge,state_lcb,state_history_n,state_empirical_rate,robust_score,selector_version,eligible,rank,leg_result,decision_id,published,parlay_hit
2026-04-06,Olivier-Maxence_Prosper,player_points,UNDER,18.0,24.0,0.21161929649642408,2026-04-06 00:00:00|1610612739|1610612763,0.7883807035035759,0.2645711796940521,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,0.0,2026-04-06,True,False
2026-04-06,Jalen_Duren,player_assists,UNDER,4.4,4.0,0.2237378591690653,2026-04-06 00:00:00|1610612753|1610612765,0.7762621408309347,0.25245261702141086,0.7864434786266603,20,0.9,0.7762621408309347,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,2026-04-06,True,False
2026-04-06,Daniss_Jenkins,player_rebounds,UNDER,5.2,2.0,0.24428654822785734,2026-04-06 00:00:00|1610612753|1610612765,0.7557134517721427,0.23190392796261883,0.7864434786266603,20,0.9,0.7557134517721427,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,2026-04-06,True,False
2026-04-06,Anthony_Black,player_points,OVER,7.0,14.0,0.7452227470649884,2026-04-06 00:00:00|1610612753|1610612765,0.7452227470649884,0.22141322325546453,0.7864434786266603,20,0.9,0.7502227470649884,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,2026-04-06,True,False
2026-04-07,Will_Riley,player_points,UNDER,22.6,2.0,0.17435652467189666,2026-04-07 00:00:00|1610612741|1610612764,0.8256434753281033,0.3018339515185795,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,2026-04-07,True,True
2026-04-07,Malik_Monk,player_assists,UNDER,6.4,1.0,0.25814309042786165,2026-04-07 00:00:00|1610612744|1610612758,0.7418569095721383,0.2180473857626145,0.7864434786266603,20,0.9,0.7418569095721383,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,2026-04-07,True,True
2026-04-07,Collin_Murray-Boyles,player_points,UNDER,14.8,6.0,0.21317566398362087,2026-04-07 00:00:00|1610612748|1610612761,0.7868243360163791,0.2630148122068553,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,2026-04-07,True,True
2026-04-07,Kyle_Filipowski,player_points,UNDER,21.6,9.0,0.22495669950954755,2026-04-07 00:00:00|1610612740|1610612762,0.7750433004904524,0.2512337766809286,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,2026-04-07,True,True
2026-04-08,Caleb_Love,player_rebounds,OVER,0.0,0.0,0.8120509382273642,2026-04-08 00:00:00|1610612757|1610612759,0.8120509382273642,0.28824141441784035,0.7552346828713883,20,0.875,0.7602346828713883,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,0.5,2026-04-08,True,False
2026-04-08,Jalen_Suggs,player_assists,UNDER,9.0,4.0,0.17361790241296537,2026-04-08 00:00:00|1610612750|1610612753,0.8263820975870346,0.3025725737775108,0.7552346828713883,20,0.875,0.7552346828713883,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,2026-04-08,True,False
2026-04-08,Bones_Hyland,player_rebounds,UNDER,4.4,1.0,0.256009614060549,2026-04-08 00:00:00|1610612750|1610612753,0.743990385939451,0.22018086212992716,0.7864434786266603,20,0.9,0.743990385939451,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,2026-04-08,True,False
2026-04-08,Franz_Wagner,player_rebounds,OVER,2.4,0.0,0.804785150460428,2026-04-08 00:00:00|1610612750|1610612753,0.804785150460428,0.28097562665090414,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,0.0,2026-04-08,True,False
2026-04-09,Adem_Bona,player_rebounds,OVER,2.4,2.0,0.743686755917562,2026-04-09 00:00:00|1610612745|1610612755,0.743686755917562,0.2198772321080381,0.7864434786266603,20,0.9,0.748686755917562,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,0.0,2026-04-09,True,False
