provider_name,source_event_id,game_id,snapshot_id,snapshot_time_utc,snapshot_type,commence_time_utc,home_team,away_team,player,player_id_source,market,market_canonical,line,book,side,odds,over_odds,under_odds,source_market_key,source_selection_key,is_live,raw_json_ref,valid_american_odds,schema_valid
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,betmgm,OVER,-105,-105.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,espnbet,OVER,-145,-145.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,draftkings,UNDER,124,,124.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,fanduel,UNDER,102,,102.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,caesars,UNDER,100,,100.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,bovada,UNDER,-110,,-110.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,betmgm,UNDER,-125,,-125.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Ayo Dosunmu,sgo_ayo_dosunmu,AST,AST,3.5,espnbet,UNDER,110,,110.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Ayo Dosunmu"", ""player_raw"": ""AYO_DOSUNMU_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""line"": ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,1.5,draftkings,OVER,-215,-215.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,fanduel,OVER,138,138.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,3.5,caesars,OVER,340,340.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,bovada,OVER,140,140.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,espnbet,OVER,175,175.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,betmgm,OVER,-110,-110.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,1.5,draftkings,UNDER,165,,165.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,fanduel,UNDER,-186,,-186.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
