iter	MAE
0	0.5688298065
1	0.5678935065
2	0.5668589871
3	0.5659369616
4	0.5651674076
5	0.564143599
6	0.563235777
7	0.5622816244
8	0.5614007632
9	0.5605358391
10	0.5598525949
11	0.5590660651
12	0.5583358473
13	0.5574739446
14	0.5566991289
15	0.5560175854
16	0.5553439113
17	0.5545518697
18	0.5539078979
19	0.5533284343
20	0.5524889092
21	0.5518490055
22	0.5513596179
23	0.5506671032
24	0.549971849
25	0.5494044962
26	0.5487923456
27	0.5482710991
28	0.5477010964
29	0.5470630216
30	0.5466070396
31	0.5461561335
32	0.5455726048
33	0.5450529137
34	0.5444364777
35	0.5439567235
36	0.5435722896
37	0.5430401295
38	0.5425377123
39	0.5420954214
40	0.5417767581
41	0.5412504605
42	0.5407083481
43	0.5401969361
44	0.539766185
45	0.5393842315
46	0.5389120173
47	0.5384666003
48	0.5381288854
49	0.5377516484
50	0.537296729
51	0.5368533252
52	0.5364337544
53	0.5360835714
54	0.5356545504
55	0.53531419
56	0.5348961584
57	0.5345037641
58	0.5341679487
59	0.5337627239
60	0.5333807773
61	0.5330643052
62	0.5328117027
63	0.5325204408
64	0.5322874304
65	0.5319077814
66	0.5315953744
67	0.5313305239
68	0.5310028842
69	0.5307113337
70	0.5304259241
71	0.5301467439
72	0.529875806
73	0.5295697774
74	0.5292736699
75	0.5290353363
76	0.5288398199
77	0.5286501435
78	0.5283404264
79	0.5280498099
80	0.5277344164
81	0.5274938793
82	0.5272642811
83	0.5270811843
84	0.5268468474
85	0.5266572832
86	0.5263784133
87	0.5260846634
88	0.5259287699
89	0.5256568176
90	0.5254267514
91	0.5251386551
92	0.5248831867
93	0.5246443776
94	0.5243653488
95	0.5241194398
96	0.5237965143
97	0.5235359231
98	0.5232644895
99	0.5230127098
100	0.5228799183
101	0.5226889208
102	0.522400092
103	0.5222059854
104	0.5219968324
105	0.5218323433
106	0.5215793595
107	0.5213778901
108	0.5211602804
109	0.5209570286
110	0.5206671206
111	0.520415268
112	0.5203201048
113	0.520140103
114	0.5199318577
115	0.5196663246
116	0.5194877252
117	0.5193229493
118	0.519154333
119	0.5188917297
120	0.5186915761
121	0.5184854315
122	0.5183262357
123	0.5181067775
124	0.5179906435
125	0.5177797731
126	0.5175735095
127	0.5174948766
128	0.5172485376
129	0.5170503854
130	0.5168526809
131	0.5167235968
132	0.5164509841
133	0.5162395928
134	0.5161168323
135	0.5159346674
136	0.5157633008
137	0.5156083817
138	0.5155196404
139	0.5153346404
140	0.5152834855
141	0.515173841
142	0.5150299603
143	0.5148674307
144	0.5147523628
145	0.5145628846
146	0.5144544067
147	0.5142852563
148	0.5141438815
149	0.514005875
150	0.5138351588
151	0.5136443706
152	0.5134421114
153	0.5132340732
154	0.513049625
155	0.5128885404
156	0.5127235371
157	0.5125682577
158	0.5123627316
159	0.512244451
160	0.5121396619
161	0.5119936444
162	0.511833961
163	0.5117084571
164	0.5115588969
165	0.5114446827
166	0.5113159692
167	0.5111595595
168	0.5110228067
169	0.5109237805
170	0.5107903799
171	0.5105718128
172	0.5103934825
173	0.5102626109
174	0.5101160426
175	0.5099942245
176	0.5099232019
177	0.5098011619
178	0.5097338038
179	0.5095829671
180	0.5094488633
181	0.5093828228
182	0.509299535
183	0.5091922031
184	0.5091434403
185	0.5091169001
186	0.5090335587
187	0.5089372118
188	0.5088641359
189	0.5087681852
190	0.5087190682
191	0.5086566078
192	0.5085945188
193	0.508515911
194	0.5083556366
195	0.5083060526
196	0.5081267322
197	0.5079680375
198	0.5078752274
199	0.50780668
200	0.5076889227
201	0.5075685234
202	0.5074735857
203	0.5073356706
204	0.507275466
205	0.507164143
206	0.5070455449
207	0.5069245282
208	0.506802227
209	0.5066520245
210	0.5065321696
211	0.5063797584
212	0.5062897516
213	0.506134117
214	0.5059400228
215	0.5057490316
216	0.5056652236
217	0.505534734
218	0.5054628347
219	0.5052997431
220	0.5051875056
221	0.5051130224
222	0.5049766329
223	0.5047964503
224	0.5047540881
225	0.5046260644
226	0.504548161
227	0.5044057212
228	0.5043197263
229	0.5042157279
230	0.5041231259
231	0.5039894892
232	0.5038991457
233	0.5037870135
234	0.5036487454
235	0.5034973731
236	0.5033378607
237	0.5032753784
238	0.5031887474
239	0.5030965316
240	0.5029278027
241	0.5028011866
242	0.502673518
243	0.5025324841
244	0.5023998709
245	0.5021836855
246	0.502050501
247	0.501896863
248	0.5018111074
249	0.5016625949
250	0.5015609846
251	0.5014953259
252	0.5013601923
253	0.5012452095
254	0.5011531792
255	0.5010613346
256	0.5009385295
257	0.5008636008
258	0.500716466
259	0.5006125213
260	0.5004689196
261	0.5004044725
262	0.5002663218
263	0.5001624957
264	0.5000782638
265	0.4999968354
266	0.4998845999
267	0.4997572447
268	0.4995856708
269	0.4994991623
270	0.4993560824
271	0.4991894222
272	0.4991115715
273	0.4990445621
274	0.4989657455
275	0.498876624
276	0.4987686087
277	0.4986637702
278	0.4986089124
279	0.4985341536
280	0.4984424367
281	0.4983420813
282	0.498298978
283	0.4981821292
284	0.4981475055
285	0.4980637662
286	0.4979612161
287	0.4979140943
288	0.4978343258
289	0.4977662383
290	0.4976961737
291	0.4976099672
292	0.4974512876
293	0.4973477601
294	0.4972112355
295	0.4970918278
296	0.496988907
297	0.4968242309
298	0.4967226437
299	0.4966438979
300	0.4965560693
301	0.4964475687
302	0.4964026895
303	0.4963431589
304	0.4962277833
305	0.4960749813
306	0.4960117336
307	0.4958861271
308	0.4957421784
309	0.495624366
310	0.495520284
311	0.495439652
312	0.4953481525
313	0.4952803066
314	0.495231681
315	0.4951603787
316	0.4950370445
317	0.4949319859
318	0.4948278799
319	0.4947814134
320	0.49473691
321	0.4946213112
322	0.4945417939
323	0.4943870824
324	0.4942836076
325	0.4942302061
326	0.4941018623
327	0.4939574249
328	0.4938203259
329	0.4937123202
330	0.4935623927
331	0.4935040915
332	0.4933762101
333	0.4932892065
334	0.493215812
335	0.4931064565
336	0.4930352108
337	0.4929256301
338	0.4928408694
339	0.4927746659
340	0.4927044088
341	0.4925726023
342	0.4924460063
343	0.4923534286
344	0.4922206776
345	0.4921299611
346	0.4920420777
347	0.491978659
348	0.4919178908
349	0.4918215184
350	0.491744469
351	0.4916241897
352	0.4914879833
353	0.4913853434
354	0.4913308952
355	0.4912750739
356	0.4912253614
357	0.4911857539
358	0.4911301988
359	0.4910460734
360	0.4910150698
361	0.4909314917
362	0.4908263659
363	0.4907428101
364	0.4906596721
365	0.4905653514
366	0.4904829914
367	0.4903977309
368	0.490317504
369	0.4902284721
370	0.4900946387
371	0.4899953607
372	0.4899006399
373	0.4897961413
374	0.489668808
375	0.4895298087
376	0.4893996423
377	0.4892317912
378	0.4891623492
379	0.4890873821
380	0.488974592
381	0.4888360557
382	0.488749636
383	0.488696113
384	0.4886021648
385	0.488437592
386	0.4883093327
387	0.4882053606
388	0.4880622835
389	0.4879597168
390	0.4878490677
391	0.4877430636
392	0.4876003062
393	0.4874890976
394	0.4873791943
395	0.4872630729
396	0.4871827285
397	0.4870089016
398	0.486933519
399	0.4868275704
400	0.4867314012
401	0.4865844419
402	0.4865091093
403	0.486431499
404	0.4863571944
405	0.4862883224
406	0.4861795157
407	0.4860605581
408	0.4858891409
409	0.4857949418
410	0.4857010284
411	0.4856126756
412	0.4855314724
413	0.4854659172
414	0.485404964
415	0.4853272927
416	0.4852394315
417	0.4851734726
418	0.4850018324
419	0.4849197545
420	0.4848308059
421	0.4847516643
422	0.4847046756
423	0.4845188953
424	0.4844410675
425	0.4843210524
426	0.4842231656
427	0.4841331664
428	0.4840552168
429	0.4839522122
430	0.4839044677
431	0.4837820984
432	0.4836899804
433	0.4835548219
434	0.4834432954
435	0.483397562
436	0.4833534702
437	0.4832550878
438	0.4831539233
439	0.4831119594
440	0.4830696292
441	0.4829768446
442	0.4829257158
443	0.4828420324
444	0.4827627412
445	0.482706429
446	0.4826294988
447	0.4825802342
448	0.4825256411
449	0.4824149904
450	0.4823156725
451	0.482226757
452	0.4821500642
453	0.4820192304
454	0.4819621617
455	0.48187512
456	0.4818051492
457	0.4816765419
458	0.4816082045
459	0.4814971806
460	0.4813703402
461	0.4812321832
462	0.4811732909
463	0.4810679992
464	0.4809798998
465	0.4808363051
466	0.4807649895
467	0.4806541845
468	0.480563874
469	0.4805118505
470	0.4803576708
471	0.4802690721
472	0.480209406
473	0.4800691497
474	0.4799217317
475	0.4798075928
476	0.479752398
477	0.4796612586
478	0.4795690257
479	0.4794730336
480	0.4793515716
481	0.4792353285
482	0.4791478704
483	0.479064144
484	0.4789886497
485	0.4788768913
486	0.4787762559
487	0.4786579164
488	0.4786016237
489	0.4784885069
490	0.4783947955
491	0.4782651044
492	0.4781773464
493	0.4780440682
494	0.4779533621
495	0.4778080547
496	0.4777155067
497	0.477673809
498	0.4775881593
499	0.4775031897
500	0.4773430534
501	0.4772712364
502	0.4772202864
503	0.4771421434
504	0.4770654437
505	0.4769060789
506	0.4768433814
507	0.476802795
508	0.4767129784
509	0.4766603892
510	0.4765754424
511	0.4764894627
512	0.476390999
513	0.4763049593
514	0.4762501628
515	0.4761697841
516	0.4760603006
517	0.4759004189
518	0.475861255
519	0.4757415892
520	0.4756518777
521	0.4755417233
522	0.4754162232
523	0.4752922935
524	0.4751719902
525	0.4751135244
526	0.4750222777
527	0.4749081121
528	0.4748000846
529	0.474676161
530	0.4746060833
531	0.4744975238
532	0.4744471174
533	0.4743490224
534	0.4742155357
535	0.4741185185
536	0.4740786121
537	0.4739840722
538	0.4738426738
539	0.4737486767
540	0.4736229799
541	0.4734453421
542	0.4733338775
543	0.4731901903
544	0.473047305
545	0.4729686546
546	0.4728818051
547	0.4727322712
548	0.4726449827
549	0.4725543762
550	0.472416498
551	0.4723064466
552	0.4721561242
553	0.4721157832
554	0.4720813697
555	0.4719726868
556	0.4718230901
557	0.4716774787
558	0.4715624997
559	0.4714453915
560	0.4713347219
561	0.4711986122
562	0.4711060687
563	0.4710139343
564	0.4709151115
565	0.4707693124
566	0.4706266723
567	0.4704884077
568	0.4703848418
569	0.4703130931
570	0.470144404
571	0.4699879788
572	0.4698755355
573	0.4697543728
574	0.469678096
575	0.4695137686
576	0.4693718444
577	0.4692774719
578	0.4691713332
579	0.4690204752
580	0.4688732546
581	0.4686412383
582	0.4685497892
583	0.4684636359
