iter	Passed	Remaining
208	52624	224345
209	52881	224114
210	53141	223901
211	53402	223687
212	53624	223308
213	53871	223037
214	54108	222725
215	54358	222467
216	54607	222202
217	54860	221959
218	55126	221764
219	55356	221425
220	55614	221199
221	55857	220914
222	56110	220666
223	56365	220429
224	56632	220237
225	56881	219975
226	57117	219664
227	57350	219341
228	57600	219084
229	57843	218798
230	58097	218558
231	58354	218325
232	58588	218008
233	58833	217735
234	59105	217558
235	59350	217284
236	59574	216931
237	59835	216714
238	60092	216483
239	60356	216278
240	60597	215989
241	60866	215800
242	61144	215640
243	61391	215372
244	61643	215122
245	61907	214916
246	62158	214662
247	62392	214347
248	62640	214083
249	62889	213824
250	63139	213567
251	63371	213250
252	63625	213005
253	63884	212780
254	64145	212559
255	64387	212278
256	64653	212073
257	64906	211828
258	65161	211584
259	65401	211296
260	65638	210999
261	65888	210743
262	66157	210545
263	66390	210236
264	66638	209974
265	66897	209745
266	67141	209470
267	67393	209222
268	67647	208976
269	67880	208671
270	68167	208528
271	68397	208209
272	68647	207955
273	68906	207724
274	69160	207481
275	69415	207240
276	69691	207060
277	69959	206858
278	70196	206564
279	70446	206307
280	70683	206012
281	70941	205781
282	71188	205516
283	71451	205297
284	71689	205005
285	71937	204746
286	72186	204487
287	72447	204262
288	72681	203960
289	72949	203756
290	73182	203451
291	73433	203200
292	73666	202896
293	73918	202647
294	74154	202352
295	74390	202061
296	74645	201818
297	74875	201510
298	75140	201297
299	75406	201085
300	75661	200842
301	75923	200619
302	76149	200301
303	76407	200066
304	76651	199796
305	76880	199487
306	77116	199196
307	77365	198940
308	77631	198726
309	77886	198483
310	78146	198256
311	78401	198013
312	78651	197759
313	78917	197544
314	79164	197282
315	79411	197019
316	79670	196789
317	79911	196513
318	80149	196227
319	80384	195938
320	80632	195678
321	80869	195393
322	81127	195158
323	81406	194973
324	81655	194716
325	81900	194450
326	82159	194217
327	82427	194007
328	82674	193743
329	82933	193512
330	83158	193197
331	83408	192945
332	83669	192717
333	83922	192468
334	84177	192226
335	84400	191910
336	84649	191654
337	84903	191408
338	85134	191113
339	85377	190843
340	85600	190530
341	85851	190278
342	86097	190017
343	86366	189804
344	86628	189578
345	86867	189299
346	87105	189022
347	87384	188829
348	87645	188600
349	87896	188349
350	88124	188049
351	88374	187794
352	88622	187538
353	88853	187245
354	89111	187008
355	89338	186707
356	89601	186481
357	89880	186287
358	90118	186009
359	90340	185699
360	90570	185405
361	90853	185221
362	91116	184994
363	91367	184742
364	91625	184506
365	91864	184231
366	92089	183928
367	92337	183671
368	92574	183392
369	92828	183147
370	93088	182914
371	93342	182669
372	93590	182412
373	93871	182220
374	94133	181992
375	94376	181725
376	94611	181443
377	94893	181252
378	95132	180976
379	95393	180746
380	95647	180499
381	95896	180245
382	96127	179957
383	96388	179724
384	96626	179450
385	96878	179200
386	97129	178949
387	97383	178703
388	97629	178444
389	97886	178203
390	98129	177937
391	98383	177692
392	98620	177416
393	98895	177208
394	99140	176947
395	99384	176682
396	99636	176434
397	99885	176180
398	100154	175960
399	100413	175723
400	100672	175486
401	100915	175222
402	101168	174973
403	101414	174714
404	101644	174427
405	101879	174148
406	102116	173874
407	102367	173623
408	102621	173377
409	102878	173137
410	103136	172897
411	103394	172659
412	103636	172392
413	103882	172134
414	104126	171870
415	104381	171627
416	104615	171348
417	104888	171134
418	105137	170880
419	105384	170622
420	105621	170349
421	105875	170102
422	106110	169827
423	106349	169556
424	106598	169304
425	106850	169054
426	107124	168840
427	107354	168556
428	107612	168316
429	107848	168042
430	108114	167816
431	108369	167571
432	108618	167317
433	108854	167043
434	109104	166791
