iter	Passed	Remaining
0	267	294170
1	519	285053
2	769	281518
3	1041	285240
4	1266	277404
5	1552	283006
6	1846	288389
7	2137	291786
8	2401	291139
9	2645	288392
10	2920	289120
11	3162	286715
12	3401	284434
13	3666	284432
14	3910	282858
15	4152	281364
16	4403	280537
17	4648	279398
18	4911	279416
19	5156	278450
20	5415	278277
21	5641	276449
22	5889	275791
23	6150	275728
24	6423	276212
25	6681	276002
26	6934	275576
27	7173	274634
28	7438	274716
29	7691	274328
30	7920	273130
31	8185	273206
32	8449	273191
33	8720	273412
34	8967	272868
35	9217	272438
36	9471	272121
37	9707	271309
38	9960	270977
39	10210	270588
40	10460	270192
41	10697	269463
42	10932	268737
43	11182	268390
44	11440	268225
45	11670	267402
46	11952	267778
47	12213	267674
48	12459	267244
49	12714	266999
50	12958	266532
51	13191	265861
52	13444	265591
53	13735	266064
54	13963	265305
55	14195	264649
56	14448	264379
57	14681	263767
58	14932	263462
59	15185	263212
60	15435	262904
61	15693	262745
62	15945	262467
63	16195	262156
64	16449	261930
65	16682	261366
66	16930	261031
67	17183	260784
68	17440	260603
69	17694	260361
70	17972	260473
71	18209	259996
72	18474	259901
73	18731	259709
74	18978	259369
75	19262	259538
76	19531	259494
77	19774	259096
78	20045	259068
79	20309	258950
80	20540	258407
81	20804	258281
82	21062	258080
83	21287	257474
84	21538	257199
85	21773	256723
86	22021	256413
87	22258	255973
88	22505	255649
89	22757	255386
90	23006	255098
91	23255	254797
92	23504	254507
93	23752	254199
94	24000	253901
95	24255	253668
96	24532	253667
97	24767	253236
98	25010	252881
99	25259	252592
100	25501	252237
101	25786	252304
102	26036	252019
103	26283	251717
104	26543	251527
105	26804	251354
106	27037	250918
107	27292	250688
108	27548	250465
109	27827	250445
110	28082	250211
111	28328	249900
112	28581	249641
113	28829	249349
114	29067	248968
115	29340	248885
116	29591	248615
117	29840	248332
118	30101	248147
119	30344	247810
120	30593	247530
121	30855	247351
122	31086	246922
123	31337	246657
124	31580	246329
125	31832	246071
126	32074	245734
127	32303	245303
128	32537	244911
129	32801	244748
130	33055	244506
131	33279	244049
132	33526	243757
133	33776	243494
134	34049	243392
135	34288	243045
136	34523	242674
137	34776	242429
138	35063	242418
139	35321	242204
140	35571	241938
141	35820	241662
142	36081	241469
143	36336	241233
144	36584	240955
145	36849	240783
146	37098	240506
147	37381	240451
148	37614	240076
149	37849	239714
150	38099	239447
151	38335	239095
152	38572	238747
153	38824	238495
154	39083	238282
155	39323	237957
156	39576	237708
157	39830	237472
158	40088	237251
159	40325	236913
160	40582	236690
161	40818	236344
162	41065	236063
163	41331	235891
164	41598	235722
165	41849	235464
166	42098	235196
167	42363	235018
168	42627	234831
169	42887	234617
170	43151	234431
171	43393	234122
172	43659	233944
173	43892	233588
174	44137	233298
175	44424	233228
176	44686	233025
177	44922	232687
178	45153	232325
179	45402	232058
180	45668	231874
181	45893	231486
182	46132	231168
183	46377	230880
184	46622	230592
185	46866	230299
186	47119	230051
187	47378	229835
188	47626	229565
189	47856	229209
190	48121	229019
191	48365	228728
192	48610	228446
193	48890	228324
194	49127	228001
195	49376	227735
196	49612	227411
197	49850	227098
198	50101	226841
199	50352	226586
200	50597	226306
201	50832	225979
202	51091	225757
203	51367	225613
204	51623	225382
205	51874	225123
206	52146	224961
207	52396	224699
