bucket,n,mean_predicted_p_joint,actual_both_win_rate
"(0.325, 0.34]",147,0.33490753274658636,0.3129251700680272
"(0.34, 0.351]",147,0.3457493377058162,0.42857142857142855
"(0.351, 0.359]",147,0.35485068472403525,0.40816326530612246
"(0.359, 0.365]",147,0.36172028172533777,0.5510204081632653
"(0.365, 0.373]",147,0.36912227372668016,0.5034013605442177
"(0.373, 0.381]",147,0.3767560175308809,0.43537414965986393
"(0.381, 0.391]",147,0.38527759209804047,0.3333333333333333
"(0.391, 0.403]",147,0.3964654051537522,0.2857142857142857
"(0.403, 0.426]",147,0.41202727075000556,0.24489795918367346
"(0.426, 0.536]",147,0.46159238919849427,0.2585034013605442
