date,pair_class,n,hit_rate,mean_p_joint,mean_d_s,mean_joint_ev_model,mean_realized_return
20260501,++,23351,0.2474412230739583,0.4409361432965192,7.40264258952881,1.7034118042082989,0.06357779179754668
20260501,+-,17033,0.3339399988258087,0.3892206932021758,4.415149959768592,0.47640757979785586,0.0832966946864488
20260501,--,3032,0.4558047493403694,0.3428575093381478,2.5456377717247456,-0.2085216774336336,0.09972793912786444
20260619,++,38524,0.22305575744990136,0.41791362020471834,4.448659355915232,0.6636282917591174,-0.11274737741499712
20260619,+-,26848,0.2659043504171633,0.3168108464169026,3.915292705591346,0.13487970196892815,-0.03625641414448982
20260619,--,4610,0.31214750542299347,0.23970428205411148,3.445211600833401,-0.22603054512979245,0.028146118962909694
20260620,++,17468,0.32436455232425004,0.3768779581045035,3.5901824041863457,0.2808059451882907,0.09240916631892142
20260620,+-,29408,0.2881188792165397,0.299753873822311,3.5655686081053357,0.006529587389174995,-0.03529879792941158
20260620,--,12007,0.2549346214708087,0.2390926046397881,3.527155513947067,-0.2077185225195358,-0.15230195253958162
20260621,++,27052,0.24833653703977523,0.39522881258428144,5.089856015459338,0.7190336682410907,-0.11161911013009831
20260621,+-,36871,0.3403759051829351,0.3482637499805008,3.7983524558190616,0.15264160652855208,0.013844266778015833
20260621,--,12155,0.4612916495269436,0.3056241749658538,2.7733976772753564,-0.23295654013621975,0.1473354088924889
20260626,++,17014,0.18279064299988246,0.3387564168983625,11.09128958015104,1.937225803040288,0.09757268499388697
20260626,+-,25509,0.28491904817907404,0.35617492649128396,4.978563112976649,0.47669520121847864,-0.05675990761258014
20260626,--,9337,0.4207989718324944,0.37293432692665723,2.160595645712085,-0.2660555177328754,-0.21498394504812135
20260627,++,25417,0.28520281701223593,0.3609755491889561,3.6082465450103025,0.22907581575503133,-0.027373043592943774
20260627,+-,44252,0.27512880773750337,0.300811114449106,3.555785481508144,0.0025248770250168888,-0.09410252611405279
20260627,--,18938,0.26227690358010347,0.24960906389014367,3.5096852468573343,-0.18322962902037326,-0.164386510659829
20260729,++,1259,0.32644956314535345,0.38887657485594523,6.986242739906194,1.2053959481480283,1.445196472043183
20260729,+-,2130,0.27887323943661974,0.3230035595614369,4.902726065789791,0.29726733185191406,0.25210022636365403
20260729,--,868,0.23732718894009217,0.26004183934746716,3.176486236642853,-0.2583494729223637,-0.3818383467982542
20260730,++,13845,0.3388226796677501,0.36790211958160995,3.5272752474283067,0.2235842460034781,0.09688927098650665
20260730,+-,21913,0.29530415734951854,0.3028597756942061,3.514226899967173,0.004086935082472563,-0.0660618946500398
20260730,--,8520,0.2564553990610329,0.24958026722948448,3.496029537292977,-0.1756441328309794,-0.21017442655396756
20260731,++,30539,0.34719538950194834,0.38378876921408367,3.3742488604171816,0.23653492441042717,0.125218854940891
20260731,+-,49006,0.2813328980124883,0.3057891371504739,3.454078636963602,0.001483362644477102,-0.0957726609786428
20260731,--,19534,0.22678406880311253,0.24400167713961962,3.530060603343877,-0.18849213592287284,-0.27778567298485923
20260801,++,102,0.21568627450980393,0.29920181834612,15.716487512657244,2.9045843923679335,1.7312050144577982
20260801,+-,514,0.5077821011673151,0.43208429705934714,3.7313593436384997,0.28935752229682027,0.613856781739319
20260801,--,308,0.2987012987012987,0.44135236922764115,1.5993557481083578,-0.31033370044109926,-0.509891757557959
20260802,++,39150,0.34707535121328226,0.39145384906734954,3.8979191534632975,0.4350491101234352,0.2654308874489733
20260802,+-,35046,0.32965245677110083,0.3185445617519627,3.6241939042842417,0.07496737098263288,0.10029207532379061
20260802,--,7631,0.31083737386974186,0.25986557106968083,3.362243075802566,-0.1932891948560658,-0.053153488890301796
