date,leg_i,leg_j,same_game,p_i,p_j,ev_i,ev_j,p_joint,p_joint_l,d_s,joint_ev,joint_ev_lcb,counterexample_mass,counterexample_count,retained_world_count,world_contraction_bits,logical_certificate,win_i,win_j,both_win,support_min_history_rows,support_max_rmse,calibration_pairs_prior,calibration_days_prior,evaluated,realized_return
20260620,Jackson Merrill|R|OVER|0.5|822885,Jorge Barrosa|TB|UNDER|1.5|825068,False,0.3785850919385799,0.7951814215489978,-0.1226234425871294,0.3148669181766867,0.301043831584978,0.2452904671419568,3.832111105057759,0.1536334101259318,-0.0600196769005018,0.6989561684150221,3,4,0.0,False,0,0,False,64.0,1.3581119949285927,135776,3,True,-1.0
20260627,Marcell Ozuna|R|UNDER|0.5|823364,Josh Naylor|TB|UNDER|1.5|824421,False,0.7154009255626199,0.5979733461925743,0.0369574393671121,-0.0506891792196733,0.4277906853279445,0.3431225393189705,2.301113492280042,-0.015605082120141,-0.2104360952677276,0.5722093146720555,3,4,0.0,False,1,1,True,66.0,1.6550812523639866,343484,6,True,1.301113492280042
20260619,Salvador Perez|R|OVER|0.5|824097,Jared Triolo|R|UNDER|0.5|824345,False,0.4313218294334586,0.7626222605672921,-0.0305376612693297,0.3349920316638872,0.3289356285945642,0.2936049108909315,3.9345828931134177,0.2942244972036811,0.1552128597255484,0.6710643714054358,3,4,0.0,False,0,0,False,55.0,0.6460087089942975,85034,2,True,-1.0
20260802,Francisco Lindor|R|OVER|0.5|823592,Taylor Trammell|TB|UNDER|1.5|824163,False,0.4305836403516733,0.6696415266741533,-0.0914685188579691,0.3094330733049262,0.2883366862860091,0.2304489870017101,4.1259445160094135,0.1896611695460859,-0.0491802658603693,0.7116633137139909,3,4,0.0,False,0,1,False,59.0,1.4482294354173118,611440,11,True,-1.0
20260621,Jonathan Aranda|R|OVER|0.5|822968,Ketel Marte|TB|OVER|1.5|825067,False,0.508187338129042,0.5207302956102704,0.645756141738002,-0.0128800695186345,0.2646285428093325,0.2018343636609628,6.139015357055447,0.6245586882216971,0.239064258096165,0.7353714571906675,3,4,0.0,False,0,1,False,75.0,1.960522028727792,198127,4,True,-1.0
20260731,Austin Hedges|R|UNDER|0.5|824407,Marcus Semien|TB|OVER|0.5|823593,False,0.6839034750012785,0.5935875491878622,-0.032739571247546,0.1572290133846332,0.4059565876070712,0.3291401320816923,2.75729441477772,0.1193418316511996,-0.0924637521319488,0.5940434123929288,3,4,0.0,False,1,0,False,62.0,1.7376909275702108,499836,9,True,-1.0
20260620,Garrett Mitchell|R|UNDER|0.5|824909,Joc Pederson|TB|UNDER|1.5|822885,False,0.6847863871754212,0.5859568894564394,-0.1440170160307234,0.0205400407500206,0.4012553013714228,0.3181025395127571,2.1770800444396188,-0.1264350906586702,-0.3074653091412113,0.5987446986285772,3,4,0.0,False,1,1,True,75.0,1.7272452306848085,149227,3,True,1.1770800444396188
20260802,Matt McLain|R|UNDER|0.5|824483,Alan Roden|R|UNDER|0.5|823107,False,0.6744560713073104,0.7139176643880338,0.0294329509427369,-0.0399038306505751,0.4815061031600443,0.3958698600482183,2.052631578947368,-0.0116453671978039,-0.1874250241115519,0.5184938968399557,3,4,0.0,False,1,1,True,28.0,0.842778772583709,599887,11,True,1.0526315789473681
20260627,Gabriel Moreno|R|OVER|0.5|822960,Ian Happ|R|OVER|0.5|823770,False,0.3830004852866971,0.4316100280912535,-0.025192745165369,0.1067278692430648,0.165306850213555,0.1467678580662569,6.526325767335609,0.0788463560658123,-0.0421451460855318,0.8346931497864449,3,4,0.0,False,0,1,False,63.0,0.7593186878075485,360500,6,True,-1.0
20260731,Elly De La Cruz|R|OVER|0.5|824486,Dylan Beavers|R|UNDER|0.5|824809,False,0.4659106326048345,0.7209808978746028,-0.0104558365128478,0.253380587035481,0.3359126662247578,0.2979068203858351,3.692255664152889,0.2402754445290609,0.0999481449593771,0.6640873337752422,3,4,0.0,False,1,0,False,62.0,0.8086225044797068,480948,9,True,-1.0
20260730,Max Muncy|R|UNDER|0.5|823921,Josh Bell|TB|UNDER|1.5|823674,False,0.6537547141945138,0.5725776376028598,0.1347029625016755,-0.0712307466647577,0.3743253298252275,0.3087541156900247,2.815404513854362,0.0538772232399686,-0.1307322690151924,0.6256746701747724,3,4,0.0,False,1,1,True,119.0,1.7723046000724578,460470,8,True,1.8154045138543622
20260619,Samuel Basallo|R|UNDER|0.5|823936,Junior Caminero|TB|UNDER|1.5|822966,False,0.6519943637329357,0.6415818326405734,-0.0188731249323212,0.1032770310030499,0.4183077387551015,0.3221819056873882,2.5876995462321406,0.0824547457619691,-0.1662900288485392,0.5816922612448985,3,4,0.0,False,1,0,False,73.0,1.89797585576673,101490,2,True,-1.0
20260621,Spencer Horwitz|R|OVER|0.5|824343,Carson Benge|TB|OVER|1.5|823449,False,0.4179004598553246,0.4412707113240534,-0.3581602663560999,0.0630623670894965,0.1844072331830081,0.14354234750805,3.7000482831518737,-0.3176843334604234,-0.4688863835432498,0.8155927668169918,3,4,0.0,False,1,1,True,80.0,1.9039620223006104,229813,4,True,2.7000482831518737
20260627,Corey Seager|R|UNDER|0.5|822794,Josh Rojas|R|UNDER|0.5|824581,False,0.659495924382219,0.6420774636142839,0.040545951043301,-0.0846980837838932,0.4234474703912927,0.3615999525653265,2.249189733075399,-0.0475862970991554,-0.1866930992095163,0.5765525296087073,3,4,0.0,False,0,1,False,20.0,0.691283899017549,339673,6,True,-1.0
20260621,Max Muncy|R|OVER|0.5|823934,Justin Crawford|TB|UNDER|1.0|823449,False,0.3776510116840281,0.7543074299846949,-0.2134704676570056,0.8857685749617372,0.2848649640544992,0.2394212404746237,5.206721999999999,0.48321267537177,0.2465998400465137,0.7151350359455007,3,4,0.0,False,0,1,False,80.0,1.2364872498662594,240344,4,True,-1.0
20260802,Travis Bazzana|R|UNDER|0.5|824404,Randy Arozarena|R|OVER|0.5|823107,False,0.6509545074380108,0.4414461955951905,0.0478779875831394,-0.0464762175143883,0.287361390814051,0.2552216595838107,3.477073170731708,-0.0008234176963141,-0.1125756148715108,0.712638609185949,3,4,0.0,False,1,1,True,86.0,0.8606991354766041,595331,11,True,2.477073170731708
20260730,Edgar Quero|TB|OVER|0.5|824568,Lars Nootbaar|TB|OVER|0.5|823023,False,0.4293525500879824,0.5455342830054377,-0.1106914872912364,0.0021079341022955,0.2342265355688038,0.1703650049148674,3.804791435291414,-0.1088168835498356,-0.3517966884265326,0.7657734644311963,3,4,0.0,False,1,0,False,44.0,1.4926727420795731,467012,8,True,-1.0
20260619,Jake McCarthy|TB|UNDER|1.5|824345,Victor Caratini|TB|OVER|1.0|825069,False,0.6078397767460346,0.4678981391116849,0.0800743058725377,-0.0454015766220685,0.2844071004175316,0.2079589025328134,3.625216205936124,0.0310372295169381,-0.2461040163693538,0.7155928995824683,3,4,0.0,False,0,1,False,65.0,1.6317047187665574,120080,2,True,-1.0
20260731,Christian Walker|R|UNDER|0.5|824164,Mookie Betts|R|UNDER|0.5|823922,False,0.6898923297699957,0.6319749860340763,0.0418032139917037,-0.0046439112797684,0.4359946954714094,0.3907120820094811,2.3783894232331275,0.0369651722949486,-0.0707345166192556,0.5640053045285905,3,4,0.0,False,0,1,False,84.0,0.7593256322409686,522621,9,True,-1.0
20260730,Braden Montgomery|R|UNDER|0.5|824568,Max Muncy|R|UNDER|0.5|823921,False,0.646494571574873,0.6537547141945138,-0.0805629633370843,0.1347029625016755,0.4226488738682357,0.370121651975643,2.46845074916827,0.043287929335172,-0.0863729308973263,0.5773511261317643,3,4,0.0,False,1,1,True,48.0,0.8688940405100191,435190,8,True,1.46845074916827
20260621,Brandon Lowe|R|OVER|0.5|824343,Pete Alonso|TB|OVER|1.5|823934,False,0.4283698465873455,0.4978040720763753,-0.3511752649194246,0.1100227799554505,0.2132442539859127,0.1688176534864519,3.37739574537646,-0.279789763862001,-0.4298359753704197,0.7867557460140873,3,4,0.0,False,1,1,True,80.0,1.8029042453885,228107,4,True,2.37739574537646
20260627,Daylen Lile|R|UNDER|0.5|824825,Luis Arraez|R|OVER|0.5|823207,False,0.6854048277986251,0.3829157158112585,0.0778802619519754,-0.1621422485955715,0.2624522802570029,0.2338538707909588,3.441045860519633,-0.0968896674377016,-0.195298105948278,0.737547719742997,3,4,0.0,False,0,1,False,82.0,0.7516766173736757,366216,6,True,-1.0
20260626,Lawrence Butler|R|UNDER|0.5|824014,Dansby Swanson|TB|UNDER|1.5|823773,False,0.7155903168882806,0.6056916141409013,0.0945335868136059,-0.245188492198368,0.4334270540996618,0.3397070828439034,1.9061259309677017,-0.1738334529976936,-0.3524755204578423,0.5665729459003382,3,4,0.0,False,0,1,False,77.0,1.89908324571158,302363,5,True,-1.0
20260627,Ryan OHearn|R|UNDER|0.5|823364,Nolan Arenado|TB|UNDER|1.5|822960,False,0.6551068885220546,0.6537386851166975,-0.0271131750626337,0.2592078039175716,0.4282687159132989,0.3442066096452233,2.8605093876101124,0.2250666822897198,-0.0153937618323892,0.571731284086701,3,4,0.0,False,1,0,False,80.0,1.6308184436006412,344232,6,True,-1.0
20260620,Willy Adames|TB|OVER|1.0|823854,Jo Adell|TB|UNDER|1.5|824988,False,0.5332893742297243,0.5766695995674952,0.073584848279179,-0.046231913072457,0.3075317698906553,0.2170880736780605,3.329577842515917,0.0239509668976294,-0.2771883600070669,0.6924682301093448,3,4,0.0,False,0,0,False,87.0,2.029868581649046,179199,3,True,-1.0
20260731,Jac Caglianone|R|OVER|0.5|824325,Dominic Canzone|R|UNDER|0.5|823111,False,0.4382683855160857,0.6620967113236295,-0.2455597735528022,0.0952422842818221,0.290176056727317,0.2613364749708297,2.847563807597697,-0.173705163031876,-0.2558277122679039,0.709823943272683,3,4,0.0,False,0,0,False,100.0,0.7638648684041851,530155,9,True,-1.0
20260731,Taylor Walls|R|UNDER|0.5|822945,Colt Emerson|TB|OVER|0.5|823111,False,0.7092291353869056,0.4706721635044789,0.0217182226261574,-0.033763399015038,0.3338144115729659,0.2611534246006656,2.9573964106067545,-0.0127784574053049,-0.2276657994683296,0.666185588427034,3,4,0.0,False,1,0,False,69.0,1.7183687818495157,508522,9,True,-1.0
20260730,Chase Meidroth|R|UNDER|0.5|824568,Alec Burleson|TB|UNDER|1.5|823023,False,0.6379055014987356,0.5817675761818135,1.6533444421984456e-05,-0.0049057505576658,0.3711127374399636,0.3073269751932402,2.681424271886612,-0.0048892982221981,-0.1759259893113509,0.6288872625600365,3,4,0.0,False,0,1,False,118.0,1.743865985502308,435526,8,True,-1.0
20260619,Rob Refsnyder|R|UNDER|0.5|823124,Dillon Dingler|TB|OVER|1.5|824264,False,0.8996057225755678,0.4533322980817718,0.2384586634649874,-0.1064928294134507,0.407820329582695,0.285637864737526,2.713380417825927,0.1065716962810003,-0.2249558112315859,0.592179670417305,3,4,0.0,False,1,1,True,56.0,2.569982411365016,102882,2,True,1.713380417825927
20260802,Munetaka Murakami|R|OVER|0.5|822943,Denzer Guzman|R|UNDER|0.5|823996,False,0.4407519968779794,0.7119631829884363,0.0005070329130134,-0.0846187647291534,0.3137991946057555,0.2706922994251862,2.918571428571428,-0.0841546363149163,-0.2099651889633493,0.6862008053942444,3,4,0.0,False,0,0,False,45.0,0.8944232235824643,608856,11,True,-1.0
20260627,Randy Arozarena|R|OVER|0.5|824421,Ha-Seong Kim|TB|UNDER|0.5|823207,False,0.418295781492739,0.7894903346131225,-0.0824965428348731,0.5789806692262449,0.33024047649796,0.286467375856279,4.3868645,0.4487202228119851,0.2566935615520673,0.6697595235020399,3,4,0.0,False,1,1,True,24.0,0.8650849538325064,372440,6,True,3.3868644999999997
20260731,Luis Arraez|R|OVER|0.5|823272,Nathaniel Lowe|TB|OVER|0.5|824486,False,0.42333974959221,0.5773129790057682,-0.0754310246336336,0.1289244331734318,0.2443995319686347,0.1963845837700416,4.270746748316888,0.0437685064452157,-0.1612911774445293,0.7556004680313653,3,4,0.0,False,0,1,False,96.0,1.80698041843082,546026,9,True,-1.0
20260619,Rhys Hoskins|R|UNDER|0.5|824179,Nathan Church|TB|OVER|0.5|824097,False,0.8097325601374485,0.4333169653842011,0.3074300902540059,-0.1592929870195921,0.3508708557315393,0.2786792254876685,3.1326786705224423,0.0991656458581502,-0.1269875343970667,0.6491291442684606,3,4,0.0,False,0,1,False,66.0,1.5725550273133282,82699,2,True,-1.0
20260802,Jordan Walker|R|OVER|0.5|822783,Jake Burger|TB|UNDER|1.5|824163,False,0.4157904995378076,0.5761452730469927,-0.1725357385435708,0.1917822625143153,0.2395557308865557,0.1965524026020885,4.116608799207921,-0.0138427703317196,-0.1908706499427843,0.7604442691134443,3,4,0.0,False,0,0,False,120.0,1.822385541974228,591153,11,True,-1.0
20260802,Bo Bichette|R|OVER|0.5|823592,Ezequiel Duran|R|OVER|0.5|824163,False,0.3951479416413944,0.3876779172228958,0.0076272511855555,-0.0308052069427603,0.1531901310104502,0.1399598696748989,6.375,-0.0234129148083799,-0.1077558308225191,0.8468098689895498,3,4,0.0,False,0,0,False,115.0,0.6802645093138876,610208,11,True,-1.0
20260619,Luis Arraez|TB|OVER|1.5|823853,Jordan Lawlar|TB|OVER|1.0|825069,False,0.7261049380965591,0.3846161434931069,0.5023416496344277,-0.202652076770207,0.2792716810619997,0.1746204967905466,4.2893321290664455,0.1978889943176323,-0.2509946927227641,0.7207283189380004,3,4,0.0,False,0,1,False,25.0,1.6432428436488762,113605,2,True,-1.0
