bucket,n,mean_predicted_p_joint,actual_both_win_rate
"(0.487, 0.518]",147,0.5073945039301444,0.3877551020408163
"(0.518, 0.534]",147,0.5271061828337562,0.40816326530612246
"(0.534, 0.542]",147,0.5383281621588918,0.4013605442176871
"(0.542, 0.55]",147,0.5462917842602223,0.4421768707482993
"(0.55, 0.56]",147,0.5546189582902743,0.4489795918367347
"(0.56, 0.572]",147,0.5665814935243159,0.47619047619047616
"(0.572, 0.586]",147,0.5783092163302225,0.4897959183673469
"(0.586, 0.609]",147,0.5965676903529403,0.40816326530612246
"(0.609, 0.652]",147,0.6283232482478031,0.2925170068027211
"(0.652, 0.74]",147,0.683883293170543,0.54421768707483
