snapshot_time,date,book,book_key,game_id,player_id,player,player_raw,market,line,over_odds,under_odds,no_vig_over,no_vig_under,open_line,current_line,close_line,close_over_odds,close_under_odds,close_status,team,opponent,source
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5110,Anthony_Edwards,Anthony Edwards,AST,4.5,-135.0,105.0,0.5407914020517831,0.4592085979482169,4.5,4.5,4.5,-135.0,105.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5110,Anthony_Edwards,Anthony Edwards,PTS,32.5,-135.0,105.0,0.5407914020517831,0.4592085979482169,32.5,32.5,32.5,-135.0,105.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5110,Anthony_Edwards,Anthony Edwards,TRB,12.5,-210.0,160.0,0.6378504672897196,0.3621495327102804,12.5,12.5,12.5,-210.0,160.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5337,Ayo_Dosunmu,Ayo Dosunmu,AST,4.5,165.0,-215.0,0.3560327776207968,0.6439672223792031,4.5,4.5,4.5,165.0,-215.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5337,Ayo_Dosunmu,Ayo Dosunmu,PTS,11.5,114.0,-145.0,0.4412029533585449,0.558797046641455,11.5,11.5,11.5,114.0,-145.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5337,Ayo_Dosunmu,Ayo Dosunmu,TRB,6.5,175.0,-230.0,0.34285714285714286,0.6571428571428573,6.5,6.5,6.5,175.0,-230.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,4116,DeAaron_Fox,De'Aaron Fox,AST,4.5,-154.0,120.0,0.5715249662618084,0.42847503373819157,4.5,4.5,4.5,-154.0,120.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,4116,DeAaron_Fox,De'Aaron Fox,PTS,15.5,-110.0,-120.0,0.48987854251012153,0.5101214574898786,15.5,15.5,15.5,-110.0,-120.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,FanDuel,fanduel,2977815,4116,DeAaron_Fox,De'Aaron Fox,TRB,3.5,116.0,-154.0,0.4329742261011864,0.5670257738988136,3.5,3.5,3.5,116.0,-154.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5113,Devin_Vassell,Devin Vassell,AST,2.5,180.0,-238.0,0.33651931501393867,0.6634806849860613,2.5,2.5,2.5,180.0,-238.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
