snapshot_time,date,book,book_key,game_id,player_id,player,player_raw,market,line,over_odds,under_odds,no_vig_over,no_vig_under,open_line,current_line,close_line,close_over_odds,close_under_odds,close_status,team,opponent,source,is_valid_over_odds,is_valid_under_odds,is_two_sided,is_valid_american_odds
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5932,Ausar_Thompson,Ausar Thompson,AST,3.5,119.0,-155.0,0.4289679535705274,0.5710320464294727,3.5,3.5,3.5,119.0,-155.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5932,Ausar_Thompson,Ausar Thompson,PTS,9.5,-106.0,-121.0,0.48448874917273327,0.5155112508272668,9.5,9.5,9.5,-106.0,-121.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5932,Ausar_Thompson,Ausar Thompson,TRB,6.5,-144.0,109.0,0.5522607163828538,0.4477392836171462,6.5,6.5,6.5,-144.0,109.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5336,Cade_Cunningham,Cade Cunningham,AST,9.5,100.0,-131.0,0.4685598377281947,0.5314401622718052,9.5,9.5,9.5,100.0,-131.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5336,Cade_Cunningham,Cade Cunningham,PTS,26.5,-124.0,-103.0,0.5217643644805572,0.47823563551944287,26.5,26.5,26.5,-124.0,-103.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,5336,Cade_Cunningham,Cade Cunningham,TRB,5.5,113.0,-149.0,0.4396419301869802,0.5603580698130197,5.5,5.5,5.5,113.0,-149.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,6336,Daniss_Jenkins,Daniss Jenkins,AST,3.5,107.0,-140.0,0.4530011325028312,0.5469988674971688,3.5,3.5,3.5,107.0,-140.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,6336,Daniss_Jenkins,Daniss Jenkins,PTS,10.5,-102.0,-125.0,0.47614107883817425,0.5238589211618258,10.5,10.5,10.5,-102.0,-125.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,6336,Daniss_Jenkins,Daniss Jenkins,TRB,2.5,-112.0,-117.0,0.494909179767044,0.5050908202329559,2.5,2.5,2.5,-112.0,-117.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,Fanatics,fanatics,2977854,4893,Dean_Wade,Dean Wade,AST,0.5,-175.0,125.0,0.5887850467289719,0.41121495327102797,0.5,0.5,0.5,-175.0,125.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4893,Dean_Wade,Dean Wade,PTS,4.5,-123.0,-104.0,0.519675254742772,0.480324745257228,4.5,4.5,4.5,-123.0,-104.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4893,Dean_Wade,Dean Wade,TRB,3.5,-119.0,-108.0,0.511362697297744,0.48863730270225597,3.5,3.5,3.5,-119.0,-108.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,Fanatics,fanatics,2977854,3444,Dennis_Schroder,Dennis Schroder,AST,2.5,-115.0,-115.0,0.5,0.5,2.5,2.5,2.5,-115.0,-115.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,Fanatics,fanatics,2977854,3444,Dennis_Schroder,Dennis Schroder,PTS,6.5,-115.0,-115.0,0.5,0.5,6.5,6.5,6.5,-115.0,-115.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4166,Donovan_Mitchell,Donovan Mitchell,AST,3.5,-160.0,121.0,0.576271186440678,0.42372881355932207,3.5,3.5,3.5,-160.0,121.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4166,Donovan_Mitchell,Donovan Mitchell,PTS,26.5,-113.0,-112.0,0.5010457625700661,0.4989542374299339,26.5,26.5,26.5,-113.0,-112.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4166,Donovan_Mitchell,Donovan Mitchell,TRB,3.5,-160.0,121.0,0.576271186440678,0.42372881355932207,3.5,3.5,3.5,-160.0,121.0,provisional_current_snapshot_not_closing,CLE,DET,rotowire_current_board,True,True,True,True
2026-05-09T15:05:09.897681+00:00,2026-05-09,DraftKings,draftkings,2977854,4470,Duncan_Robinson,Duncan Robinson,AST,2.5,137.0,-181.0,0.3957913714664,0.6042086285336,2.5,2.5,2.5,137.0,-181.0,provisional_current_snapshot_not_closing,DET,@CLE,rotowire_current_board,True,True,True,True
