season,week,bets,graded_decisions,wins,losses,pushes,hit_rate,hit_rate_wilson_95,roi,profit_units,distinct_weeks,over_bets,under_bets
2022,1,11,11,7,4,0,0.6364,"[0.3538, 0.8483]",0.1834,2.0174,1,9,2
2022,2,10,10,7,3,0,0.7,"[0.3968, 0.8922]",0.2987,2.9874,1,7,3
2022,3,12,12,7,5,0,0.5833,"[0.3195, 0.8067]",0.1109,1.3306,1,8,4
2022,4,9,9,6,3,0,0.6667,"[0.3542, 0.8794]",0.2454,2.2087,1,3,6
2022,5,12,12,6,6,0,0.5,"[0.2538, 0.7462]",-0.056,-0.6717,1,0,12
2022,6,12,12,8,4,0,0.6667,"[0.3906, 0.8619]",0.2601,3.121,1,0,12
2022,7,12,12,5,7,0,0.4167,"[0.1933, 0.6805]",-0.2401,-2.8813,1,0,12
2022,8,12,12,9,3,0,0.75,"[0.4677, 0.9111]",0.4044,4.8529,1,0,12
2022,9,12,12,7,5,0,0.5833,"[0.3195, 0.8067]",0.0906,1.087,1,0,12
2022,10,12,12,8,4,0,0.6667,"[0.3906, 0.8619]",0.2464,2.9565,1,0,12
2022,11,12,12,8,4,0,0.6667,"[0.3906, 0.8619]",0.2483,2.9798,1,0,12
2022,12,12,12,5,7,0,0.4167,"[0.1933, 0.6805]",-0.221,-2.6522,1,0,12
2022,13,12,12,9,3,0,0.75,"[0.4677, 0.9111]",0.4022,4.8261,1,0,12
2022,14,12,12,8,4,0,0.6667,"[0.3906, 0.8619]",0.2439,2.9265,1,0,12
2022,15,12,12,5,7,0,0.4167,"[0.1933, 0.6805]",-0.2229,-2.6749,1,0,12
2022,16,12,12,4,8,0,0.3333,"[0.1381, 0.6094]",-0.3798,-4.558,1,0,12
2022,17,12,12,9,3,0,0.75,"[0.4677, 0.9111]",0.3964,4.7565,1,0,12
2022,18,12,12,9,3,0,0.75,"[0.4677, 0.9111]",0.3905,4.6857,1,0,12
