player_id,player_display_name,position,recent_team,opponent_team,season,week,actual,baseline,prediction,absolute_error,target
00-0035710,Daniel Jones,QB,NYG,MIN,2024,1,186.0,161.0,186.75333847192258,0.7533384719225751,passing
00-0036212,Tua Tagovailoa,QB,MIA,JAX,2024,1,338.0,233.4,234.51211887754388,103.48788112245612,passing
00-0036264,Jordan Love,QB,GB,PHI,2024,1,260.0,258.6,246.80938694767377,13.190613052326228,passing
00-0036355,Justin Herbert,QB,LAC,LV,2024,1,144.0,221.6,219.07279054556193,75.07279054556193,passing
00-0036389,Jalen Hurts,QB,PHI,GB,2024,1,278.0,172.6,202.00244495670017,75.99755504329983,passing
00-0036442,Joe Burrow,QB,CIN,NE,2024,1,164.0,252.8,247.41875405413046,83.41875405413046,passing
00-0036945,Justin Fields,QB,PIT,ATL,2024,1,156.0,195.0,194.59150316778877,38.59150316778877,passing
00-0036971,Trevor Lawrence,QB,JAX,MIA,2024,1,162.0,254.0,246.48775429241238,84.48775429241238,passing
00-0037834,Brock Purdy,QB,SF,NYJ,2024,1,231.0,281.8,236.55872805391465,5.558728053914649,passing
00-0039150,Bryce Young,QB,CAR,NO,2024,1,161.0,164.4,189.31524949212607,28.31524949212607,passing
00-0039152,Will Levis,QB,TEN,CHI,2024,1,127.0,190.2,182.91758141982217,55.91758141982217,passing
00-0039163,C.J. Stroud,QB,HOU,IND,2024,1,234.0,229.2,238.802684524038,4.802684524038,passing
00-0039164,Anthony Richardson,QB,IND,HOU,2024,1,212.0,144.25,164.5435400738612,47.45645992613879,passing
00-0023459,Aaron Rodgers,QB,NYJ,TEN,2024,2,176.0,153.8,187.6662149773572,11.666214977357214,passing
00-0026498,Matthew Stafford,QB,LA,ARI,2024,2,216.0,302.8,268.19417193801746,52.19417193801746,passing
00-0029604,Kirk Cousins,QB,ATL,PHI,2024,2,241.0,254.4,259.3158106574176,18.315810657417614,passing
00-0030565,Geno Smith,QB,SEA,NE,2024,2,327.0,242.2,223.11849756085894,103.88150243914106,passing
00-0031280,Derek Carr,QB,NO,DAL,2024,2,243.0,239.6,262.69364796156276,19.69364796156276,passing
00-0031503,Jameis Winston,QB,CLE,JAX,2024,2,0.0,32.6,143.82920896775772,143.82920896775772,passing
00-0033077,Dak Prescott,QB,DAL,NO,2024,2,293.0,238.0,260.3824879277456,32.617512072254385,passing
00-0033106,Jared Goff,QB,DET,TB,2024,2,307.0,268.6,258.4463499019155,48.55365009808452,passing
00-0033119,Jacoby Brissett,QB,NE,SEA,2024,2,149.0,69.0,159.37795604760294,10.377956047602936,passing
00-0033537,Deshaun Watson,QB,CLE,JAX,2024,2,186.0,179.0,210.56983029420897,24.56983029420897,passing
00-0033869,Mitchell Trubisky,QB,BUF,MIA,2024,2,0.0,126.4,173.9089093130026,173.9089093130026,passing
00-0033873,Patrick Mahomes,QB,KC,CIN,2024,2,151.0,269.4,257.1255258132319,106.12552581323189,passing
00-0034796,Lamar Jackson,QB,BAL,LV,2024,2,247.0,266.6,247.66744219049508,0.6674421904950805,passing
00-0034855,Baker Mayfield,QB,TB,DET,2024,2,185.0,279.8,274.4081834254138,89.40818342541382,passing
00-0034857,Josh Allen,QB,BUF,MIA,2024,2,139.0,218.2,234.15280795731212,95.15280795731212,passing
00-0034869,Sam Darnold,QB,MIN,SF,2024,2,268.0,99.6,163.9036417789529,104.0963582210471,passing
00-0035228,Kyler Murray,QB,ARI,LA,2024,2,266.0,219.4,244.81895907837452,21.18104092162548,passing
00-0035289,Gardner Minshew,QB,LV,BAL,2024,2,276.0,207.6,215.70813669755407,60.29186330244593,passing
00-0035710,Daniel Jones,QB,NYG,WAS,2024,2,178.0,134.0,180.6973915150916,2.6973915150915957,passing
00-0036212,Tua Tagovailoa,QB,MIA,BUF,2024,2,145.0,253.0,228.06612590448162,83.06612590448162,passing
00-0036355,Justin Herbert,QB,LAC,CAR,2024,2,130.0,185.8,188.74193230215164,58.74193230215164,passing
00-0036389,Jalen Hurts,QB,PHI,ATL,2024,2,183.0,188.8,201.20191397484157,18.201913974841574,passing
00-0036442,Joe Burrow,QB,CIN,KC,2024,2,258.0,248.6,243.81301602108414,14.186983978915862,passing
00-0036945,Justin Fields,QB,PIT,DEN,2024,2,117.0,181.6,188.87277277049887,71.87277277049887,passing
00-0036971,Trevor Lawrence,QB,JAX,CLE,2024,2,220.0,234.8,224.9489436611156,4.948943661115607,passing
00-0037327,Skylar Thompson,QB,MIA,BUF,2024,2,80.0,55.8,119.78592410374459,39.78592410374459,passing
00-0037834,Brock Purdy,QB,SF,MIN,2024,2,319.0,265.2,239.74196727260943,79.25803272739057,passing
00-0039150,Bryce Young,QB,CAR,LAC,2024,2,84.0,169.2,164.77875219051833,80.77875219051833,passing
00-0039152,Will Levis,QB,TEN,NYJ,2024,2,192.0,178.6,157.4093374251144,34.59066257488561,passing
00-0039163,C.J. Stroud,QB,HOU,CHI,2024,2,260.0,215.2,240.78322047850529,19.216779521494715,passing
00-0039164,Anthony Richardson,QB,IND,GB,2024,2,204.0,157.8,177.24100155162736,26.758998448372637,passing
00-0023459,Aaron Rodgers,QB,NYJ,NE,2024,3,281.0,141.4,188.8942716424742,92.1057283575258,passing
00-0026498,Matthew Stafford,QB,LA,SF,2024,3,221.0,287.2,253.94910009399769,32.949100093997686,passing
00-0027973,Andy Dalton,QB,CAR,LV,2024,3,319.0,147.4,172.1133469005228,146.8866530994772,passing
00-0029604,Kirk Cousins,QB,ATL,KC,2024,3,230.0,245.8,252.09252008602496,22.09252008602496,passing
00-0030565,Geno Smith,QB,SEA,MIA,2024,3,289.0,240.8,235.09706121700768,53.90293878299232,passing
00-0031280,Derek Carr,QB,NO,PHI,2024,3,142.0,244.6,265.24382635051813,123.24382635051813,passing
00-0031800,Taylor Heinicke,QB,LAC,PIT,2024,3,24.0,178.0,183.61431490778344,159.61431490778344,passing
00-0033077,Dak Prescott,QB,DAL,BAL,2024,3,379.0,269.8,265.96362542095653,113.03637457904347,passing
00-0033106,Jared Goff,QB,DET,ARI,2024,3,199.0,274.4,249.97489459587158,50.974894595871575,passing
00-0033119,Jacoby Brissett,QB,NE,NYJ,2024,3,98.0,98.8,149.7737236836633,51.77372368366329,passing
00-0033319,Nick Mullens,QB,MIN,HOU,2024,3,0.0,261.2,220.7560028359896,220.7560028359896,passing
00-0033537,Deshaun Watson,QB,CLE,NYG,2024,3,196.0,158.4,200.64111903740306,4.641119037403058,passing
00-0033869,Mitchell Trubisky,QB,BUF,JAX,2024,3,3.0,122.8,157.94974625342775,154.94974625342775,passing
00-0033873,Patrick Mahomes,QB,KC,ATL,2024,3,217.0,245.4,240.8895145679721,23.8895145679721,passing
00-0034177,Tim Boyle,QB,MIA,SEA,2024,3,79.0,78.6,124.37277489494299,45.37277489494299,passing
00-0034796,Lamar Jackson,QB,BAL,DAL,2024,3,182.0,252.8,239.06466306575172,57.064663065751716,passing
00-0034855,Baker Mayfield,QB,TB,DEN,2024,3,163.0,240.6,239.60666451361627,76.60666451361627,passing
00-0034857,Josh Allen,QB,BUF,JAX,2024,3,263.0,227.2,240.2918008597599,22.70819914024011,passing
00-0034869,Sam Darnold,QB,MIN,HOU,2024,3,181.0,149.2,185.24642868291963,4.246428682919628,passing
00-0035228,Kyler Murray,QB,ARI,DET,2024,3,207.0,230.4,264.31334990539597,57.31334990539597,passing
00-0035289,Gardner Minshew,QB,LV,CAR,2024,3,214.0,219.8,205.5269121776451,8.473087822354898,passing
00-0035710,Daniel Jones,QB,NYG,CLE,2024,3,236.0,142.2,173.88420907609128,62.11579092390872,passing
00-0036355,Justin Herbert,QB,LAC,PIT,2024,3,125.0,159.8,196.09735017882915,71.09735017882915,passing
00-0036389,Jalen Hurts,QB,PHI,NO,2024,3,311.0,196.8,206.39483407287395,104.60516592712605,passing
00-0036442,Joe Burrow,QB,CIN,WAS,2024,3,324.0,243.6,247.04888526490672,76.95111473509328,passing
00-0036898,Davis Mills,QB,HOU,MIN,2024,3,79.0,34.6,145.09413363412,66.09413363412,passing
00-0036945,Justin Fields,QB,PIT,LAC,2024,3,245.0,171.8,178.2823875038237,66.71761249617629,passing
00-0036971,Trevor Lawrence,QB,JAX,BUF,2024,3,178.0,227.4,218.57157321595534,40.57157321595534,passing
00-0036972,Mac Jones,QB,JAX,BUF,2024,3,22.0,182.4,180.96181393766383,158.96181393766383,passing
00-0037327,Skylar Thompson,QB,MIA,SEA,2024,3,107.0,68.4,133.00585050939821,26.005850509398215,passing
00-0037834,Brock Purdy,QB,SF,LA,2024,3,292.0,255.4,244.4712979957732,47.5287020042268,passing
