player,date,market,model_mean,line,sigma,p_model_over,p_model_under,belief_uncertainty,history_rows,prediction_source
Ajay_Mitchell,2026-05-09,AST,3.5885915685129053,3.5,1.954078056944394,0.5180805564739638,0.4819194435260362,0.544525064955819,20,full_distribution_pipeline
Ajay_Mitchell,2026-05-09,PTS,14.080007069718247,16.5,4.577979329009919,0.29853594382959175,0.7014640561704082,0.325140414087983,20,full_distribution_pipeline
Ajay_Mitchell,2026-05-09,TRB,3.4270240805183625,3.5,1.637552731171861,0.482227414224435,0.5177725857755651,0.47783519832290444,20,full_distribution_pipeline
Alex_Caruso,2026-05-09,AST,1.8412025820114581,1.5,1.1964860832322377,0.6122432551829511,0.3877567448170489,0.64983945543087,20,full_distribution_pipeline
Alex_Caruso,2026-05-09,PTS,6.4955816508533255,6.5,5.460624602793309,0.4996772043090182,0.5003227956909818,0.8406675331493902,20,full_distribution_pipeline
Alex_Caruso,2026-05-09,TRB,2.932581928687776,2.5,2.084403234046921,0.5822030894805991,0.41779691051940093,0.7107740839757598,20,full_distribution_pipeline
Anthony_Edwards,2026-05-10,AST,3.823553260544047,4.5,1.4823523268955432,0.32407515822822797,0.675924841771772,0.3876897288687491,20,full_distribution_pipeline
Anthony_Edwards,2026-05-10,PTS,29.398405278261087,26.5,8.56184928376427,0.6325164356153625,0.3674835643846375,0.2912351606396625,20,full_distribution_pipeline
Anthony_Edwards,2026-05-10,TRB,4.761328447529466,5.5,2.1095023109728985,0.3631078493714773,0.6368921506285228,0.4430491057737188,20,full_distribution_pipeline
Ausar_Thompson,2026-05-09,AST,3.0607415979955084,3.5,2.2213082915965963,0.4216212695426047,0.5783787304573953,0.7257418571536192,20,full_distribution_pipeline
Ausar_Thompson,2026-05-09,PTS,8.854749723781786,9.5,4.889300886414615,0.4475032630936757,0.5524967369063243,0.5521670333926092,20,full_distribution_pipeline
Ausar_Thompson,2026-05-09,TRB,5.10722073623965,6.5,2.802254731273973,0.3095871445464642,0.6904128554535358,0.5486848671704799,20,full_distribution_pipeline
Austin_Reaves,2026-05-09,AST,5.235027355628047,5.5,1.99736668746891,0.44723074734874163,0.5527692526512584,0.3815389207702212,20,full_distribution_pipeline
Austin_Reaves,2026-05-09,PTS,21.75485584700325,21.5,6.488045687424316,0.5156667565471565,0.48433324345284345,0.2982343681361626,20,full_distribution_pipeline
Austin_Reaves,2026-05-09,TRB,4.364693652011972,4.5,2.53605578553951,0.4787253004943667,0.5212746995056333,0.5810386679419015,20,full_distribution_pipeline
Ayo_Dosunmu,2026-05-10,AST,3.6045484957040177,3.5,2.479388719231543,0.5168172332696283,0.48318276673037175,0.6878500101154235,20,full_distribution_pipeline
