player,date,market,model_mean,line,sigma,p_model_over,p_model_under,selected_side,model_edge,weak_line_score_adjusted,reliability_tier,book_outlier_score,velocity_alignment_normalized,stale_line_score,market_drift_side,market_drift_strength,best_book,consensus_no_vig_over,logged_at,phase,model_version,decision_id,run_id,prediction_time_utc,weak_line_score_raw
Ajay_Mitchell,2026-05-09,AST,3.5885915685129053,3.5,1.954078056944394,0.5180805564739638,0.4819194435260362,UNDER,0.0152926111193034,0.1242034433475314,no_action,1.0,0.0,0.018782035559025,NEUTRAL,0.0,DraftKings,0.5333731675932671,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Ajay_Mitchell,2026-05-09,PTS,14.080007069718247,16.5,4.577979329009919,0.2985359438295917,0.7014640561704082,UNDER,0.1737449914947193,0.4556480360068071,monitor,0.2726328790255916,0.6326221655836082,0.0049241876349307,NEUTRAL,0.0,DraftKings,0.4722809353243112,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Ajay_Mitchell,2026-05-09,PTS,14.080007069718247,16.5,4.577979329009919,0.2985359438295917,0.7014640561704082,UNDER,0.1737449914947193,0.5075354774271776,monitor,0.2726328790255916,0.9785384417194116,0.0049241876349307,NEUTRAL,0.0,DraftKings,0.4722809353243112,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Ajay_Mitchell,2026-05-09,TRB,3.4270240805183625,3.5,1.637552731171861,0.482227414224435,0.5177725857755651,OVER,0.0015256546478112,0.1798191514473928,no_action,0.7933414323583114,0.8049089734807164,0.0053814598768579,NEUTRAL,0.0,DraftKings,0.4807017595766237,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Alex_Caruso,2026-05-09,AST,1.841202582011458,1.5,1.1964860832322377,0.6122432551829511,0.3877567448170489,OVER,0.0273775118732698,0.2205234185300393,no_action,0.7182322005701607,1.0,0.0064855350711013,NEUTRAL,0.0,Hard Rock,0.5848657433096812,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Alex_Caruso,2026-05-09,PTS,6.4955816508533255,6.5,5.460624602793309,0.4996772043090182,0.5003227956909818,UNDER,0.0104028299369598,0.0,no_action,0.1694761096289151,0.5,0.0050817338354406,NEUTRAL,0.0,FanDuel,0.5100800342459779,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Alex_Caruso,2026-05-09,PTS,6.4955816508533255,6.5,5.460624602793309,0.4996772043090182,0.5003227956909818,UNDER,0.0104028299369598,0.0,no_action,0.1694761096289151,0.0946849629208749,0.0050817338354406,NEUTRAL,0.0,FanDuel,0.5100800342459779,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Alex_Caruso,2026-05-09,TRB,2.932581928687776,2.5,2.084403234046921,0.5822030894805991,0.4177969105194009,OVER,0.0469610299056694,0.2732501845367133,no_action,1.0,0.7396493716793319,0.0039431151784143,NEUTRAL,0.0,Fanatics,0.5352420595749297,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Anthony_Edwards,2026-05-10,AST,3.823553260544047,4.5,1.4823523268955432,0.3240751582282279,0.675924841771772,UNDER,0.1566855694191206,0.3510784929391575,no_action,0.032641654302253,0.5,0.0,NEUTRAL,0.0,DraftKings,0.4807607276473485,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
Anthony_Edwards,2026-05-10,PTS,29.398405278261087,26.5,8.56184928376427,0.6325164356153625,0.3674835643846375,OVER,0.139073481799669,0.3896959528411009,no_action,0.2697870849377282,0.3981701196558505,0.0,NEUTRAL,0.0,DraftKings,0.4934429538156935,2026-05-09T21:18:28.806476+00:00,predecision,v9.8_weak_line_detector,,,,
