event_date,player,market,side,line,actual,p_over,event_id,selected_probability,corrected_edge,state_lcb,state_history_n,state_empirical_rate,robust_score,selector_version,eligible,rank,leg_result,market_evidence,production_authorizable
2026-04-06,Olivier-Maxence_Prosper,player_points,UNDER,18.0,24.0,0.21161929649642408,2026-04-06 00:00:00|1610612739|1610612763,0.7883807035035759,0.2645711796940521,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,0.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Jalen_Duren,player_assists,UNDER,4.4,4.0,0.2237378591690653,2026-04-06 00:00:00|1610612753|1610612765,0.7762621408309347,0.25245261702141086,0.7864434786266603,20,0.9,0.7762621408309347,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Daniss_Jenkins,player_rebounds,UNDER,5.2,2.0,0.24428654822785734,2026-04-06 00:00:00|1610612753|1610612765,0.7557134517721427,0.23190392796261883,0.7864434786266603,20,0.9,0.7557134517721427,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Anthony_Black,player_points,OVER,7.0,14.0,0.7452227470649884,2026-04-06 00:00:00|1610612753|1610612765,0.7452227470649884,0.22141322325546453,0.7864434786266603,20,0.9,0.7502227470649884,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Paolo_Banchero,player_points,OVER,14.4,31.0,0.8078088872691725,2026-04-06 00:00:00|1610612753|1610612765,0.8078088872691725,0.2839993634596487,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,5,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Jarrett_Allen,player_assists,OVER,0.6,1.0,0.7931913275232803,2026-04-06 00:00:00|1610612739|1610612763,0.7931913275232803,0.2693818037137564,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,6,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Bruce_Brown,player_assists,OVER,0.8,2.0,0.7408709442978807,2026-04-06 00:00:00|1610612743|1610612757,0.7408709442978807,0.21706142048835686,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Victor_Wembanyama,player_rebounds,UNDER,16.4,5.0,0.07999999999999996,2026-04-06 00:00:00|1610612755|1610612759,0.92,0.3961904761904762,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Tony_Bradley,player_rebounds,UNDER,4.4,2.0,0.2958642761002227,2026-04-06 00:00:00|1610612737|1610612752,0.7041357238997773,0.18032620009025346,0.7250920541781595,20,0.85,0.7041357238997773,ROBUST_STATE_INTERSECTION_Q25_V1,True,9,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-06,Nickeil_Alexander-Walker,player_rebounds,UNDER,4.2,2.0,0.29771758535572823,2026-04-06 00:00:00|1610612737|1610612752,0.7022824146442718,0.17847289083474793,0.7864434786266603,20,0.9,0.7022824146442718,ROBUST_STATE_INTERSECTION_Q25_V1,True,10,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Will_Riley,player_points,UNDER,22.6,2.0,0.17435652467189666,2026-04-07 00:00:00|1610612741|1610612764,0.8256434753281033,0.3018339515185795,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Malik_Monk,player_assists,UNDER,6.4,1.0,0.25814309042786165,2026-04-07 00:00:00|1610612744|1610612758,0.7418569095721383,0.2180473857626145,0.7864434786266603,20,0.9,0.7418569095721383,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Collin_Murray-Boyles,player_points,UNDER,14.8,6.0,0.21317566398362087,2026-04-07 00:00:00|1610612748|1610612761,0.7868243360163791,0.2630148122068553,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Kyle_Filipowski,player_points,UNDER,21.6,9.0,0.22495669950954755,2026-04-07 00:00:00|1610612740|1610612762,0.7750433004904524,0.2512337766809286,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Kobe_Brown,player_points,UNDER,13.8,2.0,0.2417458307422733,2026-04-07 00:00:00|1610612750|1610612754,0.7582541692577267,0.23444464544820287,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,5,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Tyson_Etienne,player_assists,UNDER,3.2,3.0,0.2566118081365557,2026-04-07 00:00:00|1610612749|1610612751,0.7433881918634443,0.21957866805392046,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,6,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Terrence_Shannon_Jr,player_assists,UNDER,1.2,0.0,0.2921383187967036,2026-04-07 00:00:00|1610612750|1610612754,0.7078616812032964,0.18405215739377256,0.7864434786266603,20,0.9,0.7078616812032964,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,DeAnthony_Melton,player_points,OVER,5.0,21.0,0.7682179638897049,2026-04-07 00:00:00|1610612744|1610612758,0.7682179638897049,0.24440844008018103,0.6958131885925213,20,0.825,0.7008131885925213,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,SYNTHETIC_THRESHOLD_HISTORY,False
2026-04-07,Bones_Hyland,player_rebounds,UNDER,3.8,4.0,0.30801220088350734,2026-04-07 00:00:00|1610612750|1610612754,0.6919877991164927,0.16817827530696883,0.7250920541781595,20,0.85,0.6919877991164927,ROBUST_STATE_INTERSECTION_Q25_V1,True,9,0.0,SYNTHETIC_THRESHOLD_HISTORY,False
