event_date,player,market,side,line,p_over,actual,selected_odds,selected_probability,corrected_edge,state_lcb,state_history_n,state_empirical_rate,robust_score,selector_version,eligible,rank,leg_result,control_selected,market_evidence,candidate_universe_evidence,production_authorizable,regime_history_start,regime_history_end_exclusive,regime_overall_trials,regime_overall_mean,regime_overall_lcb,regime_category_trials,regime_category_mean,regime_category_lcb,regime_category_reliability,regime_log_odds_adjustment,survival_probability,survival_marginal_lcb,survival_policy_version,survival_leg_count,publication_authorized,block,decision_date,policy_hit,event_id
2026-01-24,Jarrett Allen,player_assists,OVER,0.8,0.6837394436958436,1.0,-110.0,0.6837394436958436,0.1599299198863197,0.7250920541781595,20,0.85,0.6887394436958436,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-25,2026-01-24,190,0.8089005235602095,0.7718456118606254,6,0.9285714285714286,0.8056417184249902,0.23076923076923078,0.2589386588566575,0.741383416315594,0.6877022660714199,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-24,True,
2026-01-24,Naji Marshall,player_points,UNDER,22.2,0.2396274740191447,21.0,-110.0,0.7603725259808554,0.2365630021713315,0.7864434786266603,20,0.9,0.7603725259808554,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-25,2026-01-24,190,0.8089005235602095,0.7718456118606254,60,0.7786885245901639,0.7090531443035656,0.75,-0.1386313576148573,0.734210590811346,0.6771388446070155,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-24,True,
2026-01-24,Jarrett Allen,player_assists,OVER,0.8,0.6837394436958436,1.0,-110.0,0.6837394436958436,0.1599299198863197,0.7250920541781595,20,0.85,0.6887394436958436,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-25,2026-01-24,190,0.8089005235602095,0.7718456118606254,6,0.9285714285714286,0.8056417184249902,0.23076923076923078,0.2589386588566575,0.741383416315594,0.6877022660714199,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-24,True,
2026-01-24,Naji Marshall,player_points,UNDER,22.2,0.2396274740191447,21.0,-110.0,0.7603725259808554,0.2365630021713315,0.7864434786266603,20,0.9,0.7603725259808554,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-25,2026-01-24,190,0.8089005235602095,0.7718456118606254,60,0.7786885245901639,0.7090531443035656,0.75,-0.1386313576148573,0.734210590811346,0.6771388446070155,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-24,True,
2026-01-24,Cooper Flagg,player_assists,OVER,2.6,0.6978173133179701,6.0,-110.0,0.6978173133179701,0.1740077895084463,0.66726104574935,20,0.8,0.67226104574935,ROBUST_STATE_INTERSECTION_Q25_V1,True,10,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-25,2026-01-24,190,0.8089005235602095,0.7718456118606254,6,0.9285714285714286,0.8056417184249902,0.23076923076923078,0.2589386588566575,0.7265856509135035,0.6711951726975462,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-24,True,
2026-01-25,Keldon Johnson,player_assists,UNDER,2.2,0.1741671969749695,1.0,-110.0,0.8258328030250305,0.3020232792155066,0.8535846533652467,20,0.95,0.8258328030250305,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-26,2026-01-25,200,0.8084577114427861,0.7723181000590678,42,0.872093023255814,0.8043770429011171,0.6774193548387096,0.32487208662901956,0.8677544868210688,0.8232710573835023,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-25,True,
2026-01-25,Cade Cunningham,player_rebounds,OVER,2.8,0.7226666793325989,5.0,-110.0,0.7226666793325989,0.198857155523075,0.7864434786266603,20,0.9,0.7276666793325989,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-26,2026-01-25,200,0.8084577114427861,0.7723181000590678,12,0.8846153846153846,0.7662533819001766,0.375,0.22382331254436968,0.7697038317483651,0.7084849361274885,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-25,True,
2026-01-25,Keldon Johnson,player_assists,UNDER,2.2,0.1741671969749695,1.0,-110.0,0.8258328030250305,0.3020232792155066,0.8535846533652467,20,0.95,0.8258328030250305,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-26,2026-01-25,200,0.8084577114427861,0.7723181000590678,42,0.872093023255814,0.8043770429011171,0.6774193548387096,0.32487208662901956,0.8677544868210688,0.8232710573835023,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-25,True,
2026-01-25,Cade Cunningham,player_rebounds,OVER,2.8,0.7226666793325989,5.0,-110.0,0.7226666793325989,0.198857155523075,0.7864434786266603,20,0.9,0.7276666793325989,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-26,2026-01-25,200,0.8084577114427861,0.7723181000590678,12,0.8846153846153846,0.7662533819001766,0.375,0.22382331254436968,0.7697038317483651,0.7084849361274885,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-25,True,
2026-01-25,Simone Fontecchio,player_points,UNDER,14.4,0.2354659249508134,1.0,-110.0,0.7645340750491866,0.2407245512396627,0.7864434786266603,20,0.9,0.7645340750491866,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-26,2026-01-25,200,0.8084577114427861,0.7723181000590678,62,0.7857142857142857,0.7179538710473531,0.7560975609756098,-0.10641073333462395,0.7448420946195077,0.688979594806214,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-25,True,
2026-01-28,Amen Thompson,player_assists,UNDER,8.4,0.1898191730270186,4.0,-110.0,0.8101808269729814,0.2863713031634576,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-29,2026-01-28,200,0.8084577114427861,0.7723181000590678,41,0.8690476190476191,0.799854093679858,0.6721311475409836,0.30416919217758426,0.8331041241003867,0.7802109394967255,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-28,True,
2026-01-28,Ben Sheppard,player_rebounds,OVER,0.4,0.6743355073814072,1.0,-110.0,0.6743355073814072,0.1505259835718834,0.7250920541781595,20,0.85,0.6793355073814072,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-29,2026-01-28,200,0.8084577114427861,0.7723181000590678,12,0.8846153846153846,0.7662533819001766,0.375,0.22382331254436968,0.7260240984427345,0.6583478968809416,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-28,True,
2026-01-28,Amen Thompson,player_assists,UNDER,8.4,0.1898191730270186,4.0,-110.0,0.8101808269729814,0.2863713031634576,0.7864434786266603,20,0.9,0.7864434786266603,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-29,2026-01-28,200,0.8084577114427861,0.7723181000590678,41,0.8690476190476191,0.799854093679858,0.6721311475409836,0.30416919217758426,0.8331041241003867,0.7802109394967255,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-28,True,
2026-01-28,Ben Sheppard,player_rebounds,OVER,0.4,0.6743355073814072,1.0,-110.0,0.6743355073814072,0.1505259835718834,0.7250920541781595,20,0.85,0.6793355073814072,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-29,2026-01-28,200,0.8084577114427861,0.7723181000590678,12,0.8846153846153846,0.7662533819001766,0.375,0.22382331254436968,0.7260240984427345,0.6583478968809416,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-28,True,
2026-01-28,Carter Bryant,player_points,UNDER,5.6,0.2739327439672661,0.0,-110.0,0.7260672560327339,0.20225773222321,0.7250920541781595,20,0.85,0.7250920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-29,2026-01-28,200,0.8084577114427861,0.7723181000590678,63,0.7890625,0.7222039236036707,0.7590361445783133,-0.09164307117186483,0.7064530696138437,0.6461214613463853,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-28,True,
2026-01-29,Zach LaVine,player_rebounds,OVER,0.8,0.7751574684154194,1.0,-110.0,0.7751574684154194,0.2513479446058956,0.7864434786266603,20,0.9,0.7801574684154194,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-30,2026-01-29,200,0.8233830845771144,0.7883194379193057,11,0.875,0.7474729384307791,0.3548387096774194,0.1442318760617815,0.803894637385385,0.751269721374032,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-29,True,
2026-01-29,Bobby Portis,player_assists,UNDER,4.2,0.2382164549682163,3.0,-110.0,0.7617835450317837,0.2379740212222598,0.7864434786266603,20,0.9,0.7617835450317837,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-30,2026-01-29,200,0.8233830845771144,0.7883194379193057,41,0.8690476190476191,0.799854093679858,0.6721311475409836,0.23734676181287237,0.802156828295208,0.7424873551760999,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,2,False,historical_expanding,2026-01-29,True,
2026-01-29,Zach LaVine,player_rebounds,OVER,0.8,0.7751574684154194,1.0,-110.0,0.7751574684154194,0.2513479446058956,0.7864434786266603,20,0.9,0.7801574684154194,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False,2025-12-30,2026-01-29,200,0.8233830845771144,0.7883194379193057,11,0.875,0.7474729384307791,0.3548387096774194,0.1442318760617815,0.803894637385385,0.751269721374032,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW,3,False,historical_expanding,2026-01-29,True,
