block,event_date,leg_count,policy_hit,control_hit,legacy_fixed_rank_core_hit,policy_action,policy_players,control_players,policy_independence_reference,policy_frechet_lower_reference,minimum_policy_marginal,history_rows_in_window,survival_policy_version
historical_expanding,2026-02-03,3,False,False,,False,Ziaire Williams|Cason Wallace|Tim Hardaway Jr,Cason Wallace|Ziaire Williams|Tim Hardaway Jr,0.36286561634280634,0.0,0.6848015397844586,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-04,2,True,True,True,False,Kyle Kuzma|Nikola Jokić,Kyle Kuzma|Jarrett Allen,0.5753496678264827,0.3779457706407592,0.758104304888147,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-04,3,True,False,,False,Kyle Kuzma|Jeremiah Fears|Nikola Jokić,Kyle Kuzma|Jarrett Allen|Derrick White,0.4361750599952219,0.050206816390109044,0.758104304888147,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-05,2,False,False,False,False,Sion James|Isaiah Collier,Isaiah Collier|DeAaron Fox,0.6134788932173719,0.38781886795568954,0.7760431034115223,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-05,3,False,False,,False,Sion James|Isaiah Collier|DeAaron Fox,Isaiah Collier|DeAaron Fox|Mouhamed Gueye,0.4583275544888824,0.06925615333537838,0.747095881465778,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-07,2,False,False,False,False,Jalen Suggs|Noah Clowney,Jalen Suggs|Will Riley,0.569922449727309,0.3950855369624031,0.7157877373939702,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-07,3,False,False,,False,Jalen Suggs|Noah Clowney|Keldon Johnson,Jalen Suggs|Will Riley|Gui Santos,0.4031408605829191,0.03471956841228341,0.7073609063405206,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-08,2,False,True,True,False,Will Riley|Johnny Furphy,Will Riley|John Collins,0.5516461984009466,0.3687355260765406,0.7379819030368414,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-08,3,False,False,,False,Will Riley|Johnny Furphy|Jordan Clarkson,Will Riley|John Collins|Johnny Furphy,0.398136738462066,0.024250598265447287,0.721724793202858,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-09,2,False,False,False,True,Nique Clifford|Jalen Wilson,Nique Clifford|Jalen Wilson,0.6358484841618165,0.5015920377381207,0.7882524496293077,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-09,3,False,False,,False,Nique Clifford|Jalen Wilson|Sidy Cissoko,Nique Clifford|Jalen Wilson|Sidy Cissoko,0.48110390847252554,0.1993917165077379,0.756632940796773,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-11,2,True,True,True,True,Baylor Scheierman|Jaden Ivey,Jaden Ivey|Baylor Scheierman,0.6332423666219659,0.4933564831544992,0.7957652710579709,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-11,3,True,False,,False,Baylor Scheierman|Jaden Ivey|Julian Strawther,Jaden Ivey|Baylor Scheierman|Nique Clifford,0.49764362248967287,0.2285479083836508,0.7858659633662146,230,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-12,2,True,True,True,True,Bronny James|Jericho Sims,Bronny James|Jericho Sims,0.5927282743978188,0.43362490971630985,0.7565299282569983,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-12,3,True,True,,False,Bronny James|Jericho Sims|Sidy Cissoko,Bronny James|Jericho Sims|Sidy Cissoko,0.43364064395089874,0.10685039913901262,0.7316010770558484,240,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-19,2,False,False,False,True,Amir Coffey|Taelon Peter,Taelon Peter|Amir Coffey,0.6032861860578511,0.44621678663221287,0.75965674907348,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-19,3,False,False,,False,Amir Coffey|Taelon Peter|Dylan Harper,Taelon Peter|Amir Coffey|Ben Sheppard,0.45596576342349027,0.1383993206840155,0.7558034212634304,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-20,2,True,True,True,True,Ousmane Dieng|Jaxson Hayes,Jaxson Hayes|Ousmane Dieng,0.6474253300550106,0.5020284392092171,0.7972553446339229,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-20,3,True,True,,False,Ousmane Dieng|Jaxson Hayes|Donte DiVincenzo,Jaxson Hayes|Ousmane Dieng|Ben Sheppard,0.48268573122991326,0.1916818187043141,0.7455465654840849,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-21,2,True,True,False,True,Taylor Hendricks|VJ Edgecombe,Olivier-Maxence Prosper|Taylor Hendricks,0.6061709672498631,0.4472154568476212,0.755538006194432,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-21,3,True,False,,False,Taylor Hendricks|VJ Edgecombe|Olivier-Maxence Prosper,Olivier-Maxence Prosper|Taylor Hendricks|Maxime Raynaud,0.4420352740796539,0.1217133028446864,0.7292254132280923,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-22,2,True,False,False,True,Jared McCain|Jarace Walker,Nic Claxton|Jared McCain,0.6561294780607116,0.4784392445692922,0.798824706694315,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-22,3,True,False,,False,Jared McCain|Jarace Walker|Tre Johnson,Nic Claxton|Jared McCain|Tre Johnson,0.5039172373944375,0.18768334808514053,0.7680149333997917,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-24,2,False,False,True,True,Guerschon Yabusele|Kobe Brown,Patrick Williams|Jamir Watkins,0.6716595598771539,0.45018410835631895,0.8195483877582542,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-24,3,False,False,,False,Brandin Podziemski|Guerschon Yabusele|Kobe Brown,Patrick Williams|Jamir Watkins|Luka Garza,0.55045750941974,0.17527616253447853,0.8195483877582542,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-25,2,True,True,True,True,Ousmane Dieng|Brandin Podziemski,Ousmane Dieng|Brandin Podziemski,0.6838246243062799,0.48400569229050805,0.8226746335074301,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-25,3,True,True,,False,Ousmane Dieng|Brandin Podziemski|Baylor Scheierman,Ousmane Dieng|Brandin Podziemski|Drew Eubanks,0.5378249484452383,0.17314707988969325,0.7864954395154256,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-26,2,False,False,True,True,Kobe Brown|Jaden McDaniels,Kobe Brown|Jaden McDaniels,0.684767954606068,0.47057352597279434,0.8243062873848356,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-02-26,3,False,False,,False,Kobe Brown|Jaden McDaniels|Davion Mitchell,Kobe Brown|Jaden McDaniels|Adem Bona,0.5499137909841628,0.1730313839421278,0.8030658959508643,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-01,2,True,True,True,True,Kris Dunn|Jaden McDaniels,Jalen Duren|Precious Achiuwa,0.6533744099731317,0.4299077798216908,0.8028535368734215,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-01,3,False,False,,False,Kris Dunn|Jaden McDaniels|Tristan da Silva,Jalen Duren|Precious Achiuwa|Karlo Matković,0.5196246772649178,0.12781735406909078,0.7952938917309083,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-03,2,False,False,True,True,Rayan Rupert|Tristan da Silva,Julius Randle|Rayan Rupert,0.6463523372579704,0.43637222023130917,0.7986012742862438,180,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-03,3,False,False,,False,Rayan Rupert|Tristan da Silva|Julius Randle,Julius Randle|Rayan Rupert|Leonard Miller,0.4767723482432127,0.12420233397591396,0.7376353743313295,180,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-05,2,True,False,True,True,Rasheer Fleming|Reed Sheppard,Max Christie|Nick Richards,0.6300043926650454,0.45018410835631895,0.7937281604334354,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-05,3,False,False,,False,Nick Richards|Rasheer Fleming|Reed Sheppard,Max Christie|Nick Richards|Reed Sheppard,0.5000522276550102,0.17527616253447853,0.7937281604334354,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-06,2,True,True,True,False,Jaxson Hayes|DeAaron Fox,Reed Sheppard|Jaxson Hayes,0.5708860572544232,0.3932248297551737,0.7447112597662364,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
