Market_Date,Player,Market_Player_Raw,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Player_Team,Market_Player_Opponent,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Market_K,Market_ER,Market_ERA,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_K_books,Market_ER_books,Market_ERA_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC
2026-06-21,Nathan_Eovaldi,Nathan Eovaldi,2940573,,TEX,SD,TEX,SD,,,,,,5.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333335,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nathan_Lukes,Nathan Lukes,2942558,,CHC,TOR,TOR,CHC,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.5345224838248488,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nathaniel_Lowe,Nathaniel Lowe,2942623,,NYY,CIN,CIN,NYY,,0.5,1.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,237.318157,277.409103,854.49254,,,,,,-339.215686,-431.572431,,,,,,,0.5175491695067657,0.48795003647426666,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nick_Fortes,Nick Fortes,2941089,,TB,WSH,TB,WSH,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,5.0,,,,,,242.7741,417.22488,2202.260094,,,,,,-278.947368,-775.0,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nick_Gonzales,Nick Gonzales,2941638,,COL,PIT,PIT,COL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,-121.619063,-117.379972,771.752105,,,,,,-110.107965,-115.195556,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nick_Kurtz,Nick Kurtz,2940053,,ATH,LAA,ATH,LAA,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,117.312402,-121.522032,294.205064,,,,,,-157.911704,-109.944749,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nick_Loftin,Nick Loftin,2941921,,KC,STL,KC,STL,,4.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,-124.064345,202.95082,,,,,,,-108.479407,-320.0,,,,,,,1.7525491637693282,0.4879500364742666,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nick_Martinez,Nick Martinez,2941089,,TB,WSH,TB,WSH,,,,,,5.0,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,-111.300989,,,,,,,,-117.471264,,,,,,,,0.991031208965115,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nicky_Lopez,Nicky Lopez,2940573,,TEX,SD,TEX,SD,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,102.957671,181.104511,2145.799352,,,,,,-159.84252,-258.224069,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nico_Hoerner,Nico Hoerner,2942558,,CHC,TOR,CHC,TOR,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.5345224838248488,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Noelvi_Marte,Noelvi Marte,2942623,,NYY,CIN,CIN,NYY,,1.5,1.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,148.131435,328.276108,1208.306709,,,,,,-210.067637,-526.657825,,,,,,,0.3535533905932738,0.48795003647426655,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nolan_Arenado,Nolan Arenado,2940105,,ARI,MIN,ARI,MIN,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,100.446703,137.094578,681.494198,,,,,,-117.892474,-184.359959,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Nolan_Schanuel,Nolan Schanuel,2940053,,ATH,LAA,LAA,ATH,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,129.00955,131.91915,993.690249,,,,,,-165.057951,-176.997862,,,,,,,0.3535533905932738,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Oswald_Peraza,Oswald Peraza,2940053,,ATH,LAA,LAA,ATH,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.7071067811865476,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Otto_Lopez,Otto Lopez,2941551,,MIA,SF,MIA,SF,,2.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,118.302182,332.42449,1580.054904,,,,,,-164.680628,-555.491329,,,,,,,0.35355339059327384,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Owen_Caissie,Owen Caissie,2941551,,MIA,SF,MIA,SF,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,270.472083,420.516828,1380.691463,,,,,,-388.701486,-792.245632,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ozzie_Albies,Ozzie Albies,2940325,,ATL,MIL,ATL,MIL,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,121.618255,227.539907,1045.454545,,,,,,-151.964403,-333.016282,,,,,,,0.5175491695067657,0.7559289460184545,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Patrick_Bailey,Patrick Bailey,2941661,,HOU,CLE,CLE,HOU,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,5.0,,,,,,151.047457,249.714286,847.89357,,,,,,-205.084746,-372.486772,,,,,,,0.5175491695067657,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Paul_Goldschmidt,Paul Goldschmidt,2942623,,NYY,CIN,NYY,CIN,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.4629100498862757,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Pavin_Smith,Pavin Smith,2940105,,ARI,MIN,ARI,MIN,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,111.33994,118.598957,623.280151,,,,,,-133.00591,-162.516562,,,,,,,0.4629100498862757,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Payton_Tolle,Payton Tolle,2941813,,SEA,BOS,BOS,SEA,,,,,,6.5,1.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,9.0,5.0,,,,,,,112.620101,-167.475156,,,,,,,-145.611419,121.962355,,,,,,,0.3333333333333333,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Pete_Alonso,Pete Alonso,2941916,,LAD,BAL,BAL,LAD,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,122.983869,121.837395,304.467271,,,,,,-165.747482,-163.155698,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Pete_Crow-Armstrong,Pete Crow-Armstrong,2942558,,CHC,TOR,CHC,TOR,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Petey_Halpin,Petey Halpin,2941661,,HOU,CLE,CLE,HOU,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,7.0,7.0,5.0,,,,,,155.51236,248.128607,1020.062661,,,,,,-205.084746,-368.249867,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Rafael_Devers,Rafael Devers,2941551,,MIA,SF,SF,MIA,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,162.554356,287.786756,753.546767,,,,,,-221.654368,-358.525211,,,,,,,0.5175491695067657,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Raynel_Delgado,Raynel Delgado,2941661,,HOU,CLE,HOU,CLE,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,7.0,7.0,4.0,,,,,,128.67713,,1348.275862,,,,,,-184.649123,,,,,,,,0.48795003647426655,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Reid_Detmers,Reid Detmers,2940053,,ATH,LAA,LAA,ATH,,,,,,6.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,9.0,5.0,,,,,,,-114.355162,-146.141722,,,,,,,-113.548471,107.74014,,,,,,,0.0,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Rhys_Hoskins,Rhys Hoskins,2941661,,HOU,CLE,CLE,HOU,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.5175491695067657,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Riley_Greene,Riley Greene,2940725,,DET,CWS,DET,CWS,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.37796447300922725,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Rob_Refsnyder,Rob Refsnyder,2941813,,SEA,BOS,SEA,BOS,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,138.199627,177.501326,574.832995,,,,,,-143.920198,-264.747174,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Robert_Gasser,Robert Gasser,2940325,,ATL,MIL,MIL,ATL,,,,,,5.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,-129.891304,,,,,,,,-110.0,,,,,,,,0.8345229603962802,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Rodolfo_Duran,Rodolfo Duran,2940573,,TEX,SD,SD,TEX,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,112.846199,232.330827,899.645704,,,,,,-167.350821,-314.457831,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Royce_Lewis,Royce Lewis,2940105,,ARI,MIN,MIN,ARI,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,125.287512,121.103462,506.211655,,,,,,-172.251828,-161.812256,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ryan_Gusto,Ryan Gusto,2941551,,MIA,SF,MIA,SF,,,,,,6.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,0.7559289460184544,0.0,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ryan_Kreidler,Ryan Kreidler,2940105,,ARI,MIN,MIN,ARI,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,109.048636,160.706978,763.605402,,,,,,-109.97187,-226.379073,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ryan_McMahon,Ryan McMahon,2942623,,NYY,CIN,NYY,CIN,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,154.684018,171.428598,559.31412,,,,,,-186.996497,-246.512968,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ryan_OHearn,Ryan O'Hearn,2941638,,COL,PIT,PIT,COL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-123.2689,-132.497793,401.786418,,,,,,-109.32745,-103.334905,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
