fetched_at_utc,event_id,commence_time_utc,event_date_et,home_team,away_team,bookmaker_key,bookmaker_title,market_key,player_name_raw,player_name_norm,line,over_price,under_price
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,draftkings,DraftKings,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,483.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanatics,Fanatics,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,460.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanduel,FanDuel,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,520.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,hardrock,Hard Rock,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,425.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,mgm,BetMGM,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,500.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,thescore,theScore,batter_home_runs,Corbin Carroll,Corbin_Carroll,0.5,475.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,betrivers,BetRivers,batter_home_runs,Alex Bregman,Alex_Bregman,0.5,650.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,fanduel,FanDuel,batter_home_runs,Alex Bregman,Alex_Bregman,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,betrivers,BetRivers,batter_home_runs,Joey Bart,Joey_Bart,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,caesars,Caesars,batter_home_runs,Joey Bart,Joey_Bart,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,draftkings,DraftKings,batter_home_runs,Joey Bart,Joey_Bart,0.5,840.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanatics,Fanatics,batter_home_runs,Joey Bart,Joey_Bart,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanduel,FanDuel,batter_home_runs,Joey Bart,Joey_Bart,0.5,820.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,hardrock,Hard Rock,batter_home_runs,Joey Bart,Joey_Bart,0.5,850.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,mgm,BetMGM,batter_home_runs,Joey Bart,Joey_Bart,0.5,775.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,thescore,theScore,batter_home_runs,Joey Bart,Joey_Bart,0.5,900.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,fanatics,Fanatics,batter_home_runs,Travis Bazzana,Travis_Bazzana,0.5,1800.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,fanduel,FanDuel,batter_home_runs,Travis Bazzana,Travis_Bazzana,0.5,2200.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,hardrock,Hard Rock,batter_home_runs,Travis Bazzana,Travis_Bazzana,0.5,1500.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,thescore,theScore,batter_home_runs,Travis Bazzana,Travis_Bazzana,0.5,2000.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,betrivers,BetRivers,batter_home_runs,Zach Cole,Zach_Cole,0.5,900.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,caesars,Caesars,batter_home_runs,Zach Cole,Zach_Cole,0.5,850.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,draftkings,DraftKings,batter_home_runs,Zach Cole,Zach_Cole,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,fanatics,Fanatics,batter_home_runs,Zach Cole,Zach_Cole,0.5,800.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,fanduel,FanDuel,batter_home_runs,Zach Cole,Zach_Cole,0.5,1000.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,mgm,BetMGM,batter_home_runs,Zach Cole,Zach_Cole,0.5,650.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,thescore,theScore,batter_home_runs,Zach Cole,Zach_Cole,0.5,1000.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,betrivers,BetRivers,batter_home_runs,Miguel Amaya,Miguel_Amaya,0.5,1000.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,fanatics,Fanatics,batter_home_runs,Miguel Amaya,Miguel_Amaya,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,fanduel,FanDuel,batter_home_runs,Miguel Amaya,Miguel_Amaya,0.5,1200.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,hardrock,Hard Rock,batter_home_runs,Miguel Amaya,Miguel_Amaya,0.5,1000.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,thescore,theScore,batter_home_runs,Miguel Amaya,Miguel_Amaya,0.5,1200.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,betrivers,BetRivers,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,550.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,caesars,Caesars,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,700.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,draftkings,DraftKings,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,710.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanatics,Fanatics,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,700.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,fanduel,FanDuel,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,710.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,hardrock,Hard Rock,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,mgm,BetMGM,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,775.0,
2026-05-06T00:46:54.343470+00:00,2940063,,2026-05-05,ARI,PIT,thescore,theScore,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,700.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,mgm,BetMGM,batter_home_runs,Jac Caglianone,Jac_Caglianone,0.5,1200.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,thescore,theScore,batter_home_runs,Jac Caglianone,Jac_Caglianone,0.5,1400.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,betrivers,BetRivers,batter_home_runs,Nick Allen,Nick_Allen,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,caesars,Caesars,batter_home_runs,Nick Allen,Nick_Allen,0.5,2000.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,draftkings,DraftKings,batter_home_runs,Nick Allen,Nick_Allen,0.5,1700.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,fanduel,FanDuel,batter_home_runs,Nick Allen,Nick_Allen,0.5,2200.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,hardrock,Hard Rock,batter_home_runs,Nick Allen,Nick_Allen,0.5,2000.0,
2026-05-06T00:46:54.343470+00:00,2941608,,2026-05-05,HOU,LAD,thescore,theScore,batter_home_runs,Nick Allen,Nick_Allen,0.5,2000.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,draftkings,DraftKings,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,2200.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,betrivers,BetRivers,batter_home_runs,Michael Busch,Michael_Busch,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,draftkings,DraftKings,batter_home_runs,Michael Busch,Michael_Busch,0.5,800.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,fanatics,Fanatics,batter_home_runs,Michael Busch,Michael_Busch,0.5,850.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,fanduel,FanDuel,batter_home_runs,Michael Busch,Michael_Busch,0.5,950.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,hardrock,Hard Rock,batter_home_runs,Michael Busch,Michael_Busch,0.5,900.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,mgm,BetMGM,batter_home_runs,Michael Busch,Michael_Busch,0.5,775.0,
2026-05-06T00:46:54.343470+00:00,2942466,,2026-05-05,CHC,CIN,thescore,theScore,batter_home_runs,Michael Busch,Michael_Busch,0.5,900.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,draftkings,DraftKings,batter_home_runs,Junior Caminero,Junior_Caminero,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,fanatics,Fanatics,batter_home_runs,Junior Caminero,Junior_Caminero,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,thescore,theScore,batter_home_runs,Junior Caminero,Junior_Caminero,0.5,1200.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,betrivers,BetRivers,batter_home_runs,Evan Carter,Evan_Carter,0.5,1100.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,fanatics,Fanatics,batter_home_runs,Evan Carter,Evan_Carter,0.5,1400.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,hardrock,Hard Rock,batter_home_runs,Evan Carter,Evan_Carter,0.5,1200.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,thescore,theScore,batter_home_runs,Evan Carter,Evan_Carter,0.5,1400.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,betrivers,BetRivers,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,500.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,caesars,Caesars,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,625.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,fanatics,Fanatics,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,700.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,hardrock,Hard Rock,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,750.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,mgm,BetMGM,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,650.0,
2026-05-06T00:46:54.343470+00:00,2942545,,2026-05-05,NYY,TEX,thescore,theScore,batter_home_runs,Jazz Chisholm,Jazz_Chisholm,0.5,700.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,fanatics,Fanatics,batter_home_runs,Ernie Clement,Ernie_Clement,0.5,3500.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,hardrock,Hard Rock,batter_home_runs,Ernie Clement,Ernie_Clement,0.5,2000.0,
2026-05-06T00:46:54.343470+00:00,2940777,,2026-05-05,TB,TOR,thescore,theScore,batter_home_runs,Ernie Clement,Ernie_Clement,0.5,5000.0,
2026-05-06T00:46:54.343470+00:00,2941852,,2026-05-05,KC,CLE,fanduel,FanDuel,batter_home_runs,Isaac Collins,Isaac_Collins,0.5,1700.0,
