fetched_at_utc,event_id,commence_time_utc,event_date_et,home_team,away_team,player_team,player_opponent,bookmaker_key,bookmaker_title,market_key,player_name_raw,player_name_norm,line,over_price,under_price
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,draftkings,DraftKings,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanatics,Fanatics,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanduel,FanDuel,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,880.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,hardrock,Hard Rock,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,mgm,BetMGM,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,thescore,theScore,batter_home_runs,Blaze Alexander,Blaze_Alexander,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,caesars,Caesars,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,330.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,draftkings,DraftKings,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,365.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanatics,Fanatics,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,375.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanduel,FanDuel,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,360.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,hardrock,Hard Rock,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,375.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,mgm,BetMGM,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,333.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,thescore,theScore,batter_home_runs,Pete Alonso,Pete_Alonso,0.5,375.0,
2026-06-20T11:58:55.263102+00:00,2941809,,2026-06-20,SEA,BOS,BOS,SEA,fanduel,FanDuel,batter_home_runs,Carlos Narvaez,Carlos_Narvaez,0.5,820.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,betrivers,BetRivers,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,550.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,caesars,Caesars,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,draftkings,DraftKings,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,610.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,fanatics,Fanatics,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,550.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,fanduel,FanDuel,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,590.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,hardrock,Hard Rock,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,600.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,mgm,BetMGM,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,thescore,theScore,batter_home_runs,Ozzie Albies,Ozzie_Albies,0.5,600.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,caesars,Caesars,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,625.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,draftkings,DraftKings,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,670.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,fanatics,Fanatics,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,650.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,fanduel,FanDuel,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,680.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,hardrock,Hard Rock,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,650.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,thescore,theScore,batter_home_runs,Jose Altuve,Jose_Altuve,0.5,600.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,caesars,Caesars,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,255.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,draftkings,DraftKings,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,263.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,fanatics,Fanatics,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,280.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,fanduel,FanDuel,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,280.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,hardrock,Hard Rock,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,260.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,HOU,CLE,thescore,theScore,batter_home_runs,Yordan Alvarez,Yordan_Alvarez,0.5,250.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,caesars,Caesars,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,475.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,draftkings,DraftKings,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,515.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,fanatics,Fanatics,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,fanduel,FanDuel,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,490.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,hardrock,Hard Rock,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,thescore,theScore,batter_home_runs,Gabriel Arias,Gabriel_Arias,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,PHI,NYM,mgm,BetMGM,batter_home_runs,Edmundo Sosa,Edmundo_Sosa,0.5,600.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,caesars,Caesars,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,draftkings,DraftKings,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,465.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,fanatics,Fanatics,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,575.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,fanduel,FanDuel,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,630.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,hardrock,Hard Rock,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,575.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,mgm,BetMGM,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,550.0,
2026-06-20T11:58:55.263102+00:00,2941918,,2026-06-20,PHI,NYM,NYM,PHI,thescore,theScore,batter_home_runs,Francisco Alvarez,Francisco_Alvarez,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,caesars,Caesars,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,draftkings,DraftKings,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,570.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,fanatics,Fanatics,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,550.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,fanduel,FanDuel,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,540.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,hardrock,Hard Rock,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,mgm,BetMGM,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2940955,,2026-06-20,TB,WSH,TB,WSH,thescore,theScore,batter_home_runs,Jonathan Aranda,Jonathan_Aranda,0.5,550.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,betrivers,BetRivers,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1000.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,caesars,Caesars,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1500.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,draftkings,DraftKings,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1740.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,fanatics,Fanatics,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1500.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,fanduel,FanDuel,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1600.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,hardrock,Hard Rock,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1600.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,mgm,BetMGM,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1500.0,
2026-06-20T11:58:55.263102+00:00,2941548,,2026-06-20,MIA,SF,SF,MIA,thescore,theScore,batter_home_runs,Luis Arraez,Luis_Arraez,0.5,1400.0,
2026-06-20T11:58:55.263102+00:00,2942555,,2026-06-20,CHC,TOR,TOR,CHC,fanduel,FanDuel,batter_home_runs,Brandon Valenzuela,Brandon_Valenzuela,0.5,790.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,betrivers,BetRivers,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,caesars,Caesars,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,750.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,draftkings,DraftKings,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,790.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,fanatics,Fanatics,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,fanduel,FanDuel,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,820.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,hardrock,Hard Rock,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,850.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,mgm,BetMGM,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,825.0,
2026-06-20T11:58:55.263102+00:00,2940722,,2026-06-20,DET,CWS,CWS,DET,thescore,theScore,batter_home_runs,Sam Antonacci,Sam_Antonacci,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,caesars,Caesars,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,draftkings,DraftKings,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,770.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,fanatics,Fanatics,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,fanduel,FanDuel,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,760.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,hardrock,Hard Rock,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,mgm,BetMGM,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,650.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,thescore,theScore,batter_home_runs,Nolan Arenado,Nolan_Arenado,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2942620,,2026-06-20,NYY,CIN,CIN,NYY,caesars,Caesars,batter_home_runs,Edwin Arroyo,Edwin_Arroyo,0.5,750.0,
2026-06-20T11:58:55.263102+00:00,2942620,,2026-06-20,NYY,CIN,CIN,NYY,draftkings,DraftKings,batter_home_runs,Edwin Arroyo,Edwin_Arroyo,0.5,990.0,
2026-06-20T11:58:55.263102+00:00,2942620,,2026-06-20,NYY,CIN,CIN,NYY,fanduel,FanDuel,batter_home_runs,Edwin Arroyo,Edwin_Arroyo,0.5,980.0,
2026-06-20T11:58:55.263102+00:00,2942620,,2026-06-20,NYY,CIN,CIN,NYY,mgm,BetMGM,batter_home_runs,Edwin Arroyo,Edwin_Arroyo,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2942620,,2026-06-20,NYY,CIN,CIN,NYY,thescore,theScore,batter_home_runs,Edwin Arroyo,Edwin_Arroyo,0.5,900.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,caesars,Caesars,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,750.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,draftkings,DraftKings,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,790.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,fanatics,Fanatics,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,fanduel,FanDuel,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,820.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,hardrock,Hard Rock,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,800.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,thescore,theScore,batter_home_runs,Patrick Bailey,Patrick_Bailey,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2941809,,2026-06-20,SEA,BOS,SEA,BOS,fanduel,FanDuel,batter_home_runs,Weston Wilson,Weston_Wilson,0.5,590.0,
2026-06-20T11:58:55.263102+00:00,2941809,,2026-06-20,SEA,BOS,SEA,BOS,thescore,theScore,batter_home_runs,Weston Wilson,Weston_Wilson,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,betrivers,BetRivers,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,335.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,caesars,Caesars,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,425.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,draftkings,DraftKings,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,461.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,fanatics,Fanatics,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,fanduel,FanDuel,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,470.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,hardrock,Hard Rock,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,450.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,mgm,BetMGM,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,475.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,thescore,theScore,batter_home_runs,Drake Baldwin,Drake_Baldwin,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,caesars,Caesars,batter_home_runs,Jorge Barrosa,Jorge_Barrosa,0.5,1100.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,draftkings,DraftKings,batter_home_runs,Jorge Barrosa,Jorge_Barrosa,0.5,1320.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,fanduel,FanDuel,batter_home_runs,Jorge Barrosa,Jorge_Barrosa,0.5,1260.0,
