nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2023,LAL,PF,35.526,3.857,3.657,0.2,7.686,Shot Creator,Helper
2617,Udonis Haslem,2023,MIA,C,10.305,-0.724,-0.713,-0.012,0.078,Low Minute,Helper
2738,Andre Iguodala,2023,GSW,PF,14.075,-0.496,-0.873,0.377,0.138,Stationary Shooter,Helper
101108,Chris Paul,2023,PHO,PG,32.01,2.681,2.122,0.559,6.081,Primary Ball Handler,Low Activity
200752,Rudy Gay,2023,UTA,PF,14.564,-1.868,-1.879,0.011,0.299,Shot Creator,Helper
200768,Kyle Lowry,2023,MIA,PG,31.232,1.088,0.227,0.861,3.826,Primary Ball Handler,Helper
200782,P.J. Tucker,2023,PHI,PF,25.602,-2.237,-2.928,0.691,0.265,Stationary Shooter,Helper
201142,Kevin Durant,2023,BRK/PHO,PF,35.569,3.117,2.846,0.271,5.829,Shot Creator,Wing Stopper
201143,Al Horford,2023,BOS,C,30.499,0.397,-0.603,1,3.444,Stationary Shooter,Helper
201144,Mike Conley,2023,UTA/MIN,PG,30.27,1.88,1.775,0.104,5.523,Primary Ball Handler,Point of Attack
201145,Jeff Green,2023,DEN,PF,19.484,-2.324,-1.168,-1.157,0.091,Versatile Big,Helper
201152,Thaddeus Young,2023,TOR,PF,14.73,-1.64,-1.679,0.039,0.405,Post Scorer,Helper
201565,Derrick Rose,2023,NYK,PG,12.514,-2.261,-1.039,-1.222,0.042,Secondary Ball Handler,Point of Attack
201566,Russell Westbrook,2023,LAL/LAC,PG,29.122,0,0.798,-0.799,3.277,Shot Creator,Helper
201567,Kevin Love,2023,CLE/MIA,PF,19.993,1.017,-0.096,1.113,2.706,Movement Shooter,Helper
201569,Eric Gordon,2023,HOU/LAC,SG,28.484,-1.668,-0.909,-0.76,0.967,Secondary Ball Handler,Wing Stopper
201572,Brook Lopez,2023,MIL,C,30.418,2.529,0.26,2.269,7.417,Versatile Big,Anchor Big
201586,Serge Ibaka,2023,MIL,C,11.586,-0.857,-1.178,0.321,0.186,Stretch Big,Anchor Big
201587,Nicolas Batum,2023,LAC,PF,21.916,0.132,-0.477,0.609,2.778,Stationary Shooter,Helper
201588,George Hill,2023,MIL/IND,SG,18.116,-1.574,-1.281,-0.293,0.459,Secondary Ball Handler,Point of Attack
201599,Deandre Jordan,2023,DEN,C,15.022,-2.381,-2.89,0.509,0.028,Roll + Cut Big,Anchor Big
201609,Goran Dragic,2023,CHI/MIL,PG,15.001,-2.465,-0.913,-1.552,-0.003,Primary Ball Handler,Low Activity
201933,Blake Griffin,2023,BOS,C,13.876,0.194,-0.912,1.106,0.947,Stretch Big,Helper
201935,James Harden,2023,PHI,PG,36.811,3.48,3.51,-0.03,7.914,Shot Creator,Helper
201937,Ricky Rubio,2023,CLE,PG,17.155,-0.033,-0.234,0.201,0.861,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2023,GSW,PG,34.665,3.721,3.89,-0.169,7.478,Primary Ball Handler,Chaser
201942,Demar Derozan,2023,CHI,SF,36.238,1.776,1.299,0.477,7.13,Shot Creator,Low Activity
201950,Jrue Holiday,2023,MIL,PG,32.576,2.645,2.238,0.407,6.979,Shot Creator,Point of Attack
201976,Patrick Beverley,2023,LAL/CHI,PG,27.112,0.28,-1.459,1.74,3.122,Primary Ball Handler,Point of Attack
201980,Danny Green,2023,MEM/CLE,SG,12.611,-1.182,-0.772,-0.411,0.11,Off Screen Shooter,Chaser
201988,Patty Mills,2023,BRK,PG,14.166,-2.43,-0.316,-2.114,0.01,Movement Shooter,Low Activity
202083,Wesley Matthews,2023,MIL,SF,15.779,-1.789,-1.328,-0.461,0.342,Movement Shooter,Wing Stopper
202322,John Wall,2023,LAC,PG,22.199,-1.038,-0.319,-0.719,0.67,Shot Creator,Chaser
202330,Gordon Hayward,2023,CHO,SF,31.538,-1.295,-1.262,-0.033,1.144,Secondary Ball Handler,Wing Stopper
202331,Paul George,2023,LAC,SF,34.625,2.601,1.694,0.908,6.147,Shot Creator,Wing Stopper
202681,Kyrie Irving,2023,BRK/DAL,SG,37.341,1.878,2.991,-1.112,6.1,Shot Creator,Point of Attack
202685,Jonas Valančiūnas,2023,NOP,C,24.916,0.372,0.012,0.36,3.497,Post Scorer,Mobile Big
202687,Bismack Biyombo,2023,PHO,C,14.329,-0.04,-2.227,2.187,1.325,Post Scorer,Anchor Big
202689,Kemba Walker,2023,DAL,PG,15.989,0.056,0.399,-0.343,0.227,Secondary Ball Handler,Chaser
202691,Klay Thompson,2023,GSW,SF,33.027,0.049,0.663,-0.615,3.583,Off Screen Shooter,Wing Stopper
202692,Alec Burks,2023,DET,SG,22.008,-0.122,0.623,-0.745,1.644,Secondary Ball Handler,Chaser
