nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2025,LAL,SF,34.921,2.284,2.62,-0.336,7.286,Shot Creator,Helper
101108,Chris Paul,2025,SAS,PG,27.953,0.098,0.251,-0.153,3.677,Shot Creator,Low Activity
200768,Kyle Lowry,2025,PHI,PG,18.841,-0.598,-1.232,0.634,0.767,Movement Shooter,Helper
200782,P.J. Tucker,2025,NYK,SF,19.289,-0.85,-0.781,-0.068,0.058,Low Minute,Wing Stopper
201142,Kevin Durant,2025,PHO,PF,36.527,0.706,1.703,-0.997,4.504,Shot Creator,Wing Stopper
201143,Al Horford,2025,BOS,C,27.643,1.018,-0.221,1.239,3.626,Stationary Shooter,Helper
201144,Mike Conley,2025,MIN,PG,24.73,0.953,0.51,0.442,3.766,Primary Ball Handler,Chaser
201145,Jeff Green,2025,HOU,PF,12.389,-1.333,-1.007,-0.325,0.277,Stationary Shooter,Helper
201566,Russell Westbrook,2025,DEN,PG,27.897,-0.181,0.105,-0.286,2.985,Shot Creator,Wing Stopper
201567,Kevin Love,2025,MIA,PF,10.933,1.853,1.093,0.76,0.682,Versatile Big,Helper
201569,Eric Gordon,2025,PHI,SG,19.705,-1.798,-1.076,-0.722,0.312,Stationary Shooter,Helper
201572,Brook Lopez,2025,MIL,C,31.826,0.442,-0.478,0.92,4.638,Versatile Big,Anchor Big
201587,Nicolas Batum,2025,LAC,PF,17.53,-0.329,-1.605,1.276,1.823,Stationary Shooter,Helper
201599,Deandre Jordan,2025,DEN,C,12.334,-0.236,-1.649,1.413,0.962,Athletic Finisher,Mobile Big
201935,James Harden,2025,LAC,PG,35.304,3.621,2.97,0.651,10.602,Shot Creator,Helper
201939,Stephen Curry,2025,GSW,PG,32.178,2.902,3.402,-0.5,7.575,Primary Ball Handler,Low Activity
201942,Demar Derozan,2025,SAC,SF,35.943,0.622,1.363,-0.741,5.357,Shot Creator,Low Activity
201950,Jrue Holiday,2025,BOS,PG,30.582,0.506,-0.064,0.57,3.531,Shot Creator,Point of Attack
201959,Taj Gibson,2025,CHO,C,11.05,-1.988,-2.995,1.007,0.118,Athletic Finisher,Anchor Big
201988,Patty Mills,2025,UTA/LAC,PG,11.057,-0.792,-0.812,0.019,0.333,Secondary Ball Handler,Chaser
202331,Paul George,2025,PHI,PF,32.527,-0.416,-0.331,-0.085,1.705,Shot Creator,Helper
202681,Kyrie Irving,2025,DAL,SG,36.076,0.468,1.899,-1.431,3.316,Shot Creator,Chaser
202685,Jonas Valančiūnas,2025,WAS/SAC,C,18.812,0.686,0.067,0.619,3.011,Post Scorer,Anchor Big
202687,Bismack Biyombo,2025,SAS,C,18.839,-1.027,-2.656,1.629,0.47,Athletic Finisher,Mobile Big
202691,Klay Thompson,2025,DAL,SF,27.286,-1.057,0.416,-1.472,1.714,Off Screen Shooter,Chaser
202692,Alec Burks,2025,MIA,SG,17.622,-0.257,-0.403,0.146,1.191,Secondary Ball Handler,Chaser
202693,Markieff Morris,2025,DAL/LAL,PF,10.962,0.031,0.071,-0.04,0.257,Stationary Shooter,Helper
202695,Kawhi Leonard,2025,LAC,SF,31.891,1.714,1.575,0.139,3.097,Shot Creator,Helper
202696,Nikola Vučević,2025,CHI,C,31.209,1.111,1.163,-0.052,5.115,Versatile Big,Mobile Big
202699,Tobias Harris,2025,DET,PF,31.581,0.253,-0.645,0.898,3.924,Shot Creator,Helper
202704,Reggie Jackson,2025,PHI,PG,12.387,-1.297,-0.831,-0.466,0.277,Secondary Ball Handler,Chaser
202709,Cory Joseph,2025,ORL,PG,12.235,-0.545,-0.702,0.157,0.732,Stationary Shooter,Point of Attack
202710,Jimmy Butler Iii,2025,MIA/GSW,SF,31.748,2.462,2.345,0.117,5.397,Shot Creator,Wing Stopper
203076,Anthony Davis,2025,LAL/DAL,PF,33.441,3.94,2.385,1.556,6.811,Shot Creator,Mobile Big
203078,Bradley Beal,2025,PHO,SG,32.117,-0.792,0.137,-0.929,1.77,Primary Ball Handler,Point of Attack
203081,Damian Lillard,2025,MIL,PG,36.084,2.406,3.334,-0.928,6.396,Primary Ball Handler,Low Activity
203083,Andre Drummond,2025,PHI,C,18.766,-0.354,-1.149,0.795,0.989,Roll + Cut Big,Mobile Big
203084,Harrison Barnes,2025,SAS,PF,27.196,-1.703,0.033,-1.736,1.038,Shot Creator,Helper
203109,Jae Crowder,2025,SAC,PF,11.418,-0.04,-0.39,0.35,0.156,Stationary Shooter,Helper
203110,Draymond Green,2025,GSW,PF,29.166,0.995,-1.423,2.418,4.307,Stationary Shooter,Mobile Big
203114,Khris Middleton,2025,MIL/WAS,SF,22.789,0.45,0.392,0.058,1.541,Shot Creator,Helper
203468,Cj Mccollum,2025,NOP,PG,32.709,-1.935,0.538,-2.473,0.587,Primary Ball Handler,Chaser
203471,Dennis Schröder,2025,BRK/GSW/DET,PG,28.064,-0.232,0.299,-0.531,2.935,Shot Creator,Point of Attack
203482,Kelly Olynyk,2025,TOR/NOP,C,20.25,-0.243,-0.62,0.377,1.236,Post Scorer,Helper
203484,Kentavious Caldwell-Pope,2025,ORL,SG,29.598,-1.261,-2.074,0.813,1.695,Off Screen Shooter,Wing Stopper
203486,Mason Plumlee,2025,PHO,C,17.568,0.594,-1.146,1.74,2.494,Athletic Finisher,Anchor Big
203497,Rudy Gobert,2025,MIN,C,33.173,1.63,-0.207,1.837,6.142,Athletic Finisher,Anchor Big
203500,Steven Adams,2025,HOU,C,13.691,-0.318,-0.751,0.433,1.064,Athletic Finisher,Anchor Big
203501,Tim Hardaway Jr.,2025,DET,SG,27.958,-1.167,-0.387,-0.781,1.728,Off Screen Shooter,Chaser
203507,Giannis Antetokounmpo,2025,MIL,PF,34.159,5.362,4.422,0.939,11.045,Post Scorer,Helper
203552,Seth Curry,2025,CHO,SG,15.617,-2.492,-1.647,-0.846,-0.028,Movement Shooter,Low Activity
203897,Zach Lavine,2025,CHI/SAC,SF,35.169,-0.627,0.841,-1.468,2.978,Shot Creator,Chaser
203901,Elfrid Payton,2025,NOP/CHO,PG,21.284,-0.683,-1.295,0.612,0.566,Slasher,Point of Attack
203903,Jordan Clarkson,2025,UTA,SG,26.013,-0.591,0.854,-1.445,1.123,Shot Creator,Chaser
203914,Gary Harris,2025,ORL,SG,14.806,-2.098,-2.343,0.244,0.155,Stationary Shooter,Chaser
203915,Spencer Dinwiddie,2025,DAL,PG,27.039,-0.752,0.017,-0.769,2.275,Shot Creator,Chaser
203924,Jerami Grant,2025,POR,PF,32.417,-0.765,-0.731,-0.034,1.61,Shot Creator,Wing Stopper
203932,Aaron Gordon,2025,DEN,PF,28.367,-0.524,0.589,-1.113,1.749,Shot Creator,Wing Stopper
203935,Marcus Smart,2025,MEM/WAS,PG,20.01,-0.275,-0.051,-0.224,0.93,Secondary Ball Handler,Wing Stopper
