nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2026,LAL,SF,33.331,1.767,2.181,-0.415,3.178,Shot Creator,Helper
101108,Chris Paul,2026,LAC,PG,14.221,0.064,-0.414,0.478,0.36,Primary Ball Handler,Chaser
201142,Kevin Durant,2026,HOU,SF,36.696,1.363,1.255,0.108,4.399,Shot Creator,Helper
201143,Al Horford,2026,GSW,C,20.643,1.254,-0.302,1.556,1.635,Versatile Big,Mobile Big
201144,Mike Conley,2026,MIN,PG,18.458,-0.752,-1.055,0.303,0.868,Primary Ball Handler,Point of Attack
201566,Russell Westbrook,2026,SAC,SF,29.259,-0.974,0.078,-1.051,1.415,Shot Creator,Helper
201567,Kevin Love,2026,UTA,PF,17.25,0.276,0.463,-0.187,0.858,Movement Shooter,Mobile Big
201569,Eric Gordon,2026,PHI,SG,12.292,-0.621,-0.465,-0.156,0.085,Low Minute,Low Activity
201572,Brook Lopez,2026,LAC,C,18.592,0.046,-1.212,1.258,1.372,Versatile Big,Mobile Big
201587,Nicolas Batum,2026,LAC,PF,19.443,-1.497,-2.001,0.504,0.598,Stationary Shooter,Helper
201599,Deandre Jordan,2026,NOP,C,11.65,0.132,-0.034,0.166,0.038,Low Minute,Anchor Big
201935,James Harden,2026,LAC/CLE,PG,35.233,3.063,3.82,-0.756,5.708,Shot Creator,Wing Stopper
201939,Stephen Curry,2026,GSW,PG,31.325,3.276,4.359,-1.084,4.368,Primary Ball Handler,Low Activity
201942,Demar Derozan,2026,SAC,PF,32.375,-0.996,0.361,-1.356,1.661,Shot Creator,Helper
201950,Jrue Holiday,2026,POR,PG,28.262,2.405,2.004,0.401,2.323,Shot Creator,Chaser
202331,Paul George,2026,PHI,PF,30.514,1.662,1.204,0.458,2.129,Shot Creator,Helper
202685,Jonas Valanciunas,2026,DEN,C,14.579,-0.027,0.027,-0.055,0.956,Post Scorer,Anchor Big
202691,Klay Thompson,2026,DAL,SF,22.109,-1.571,-0.196,-1.375,0.603,Off Screen Shooter,Helper
202695,Kawhi Leonard,2026,LAC,SF,32.78,4.945,4.446,0.498,6.132,Shot Creator,Wing Stopper
202696,Nikola Vucevic,2026,CHI/BOS,C,30.55,0.484,0.714,-0.23,2.876,Versatile Big,Mobile Big
202699,Tobias Harris,2026,DET,PF,27.928,0.903,0.485,0.418,2.179,Shot Creator,Wing Stopper
202710,Jimmy Butler Iii,2026,GSW,SF,31.097,2.94,2.887,0.053,3.984,Shot Creator,Wing Stopper
203076,Anthony Davis,2026,DAL,PF,31.282,1.894,0.923,0.971,1.707,Shot Creator,Mobile Big
203078,Bradley Beal,2026,LAC,SG,20.153,-0.185,-0.091,-0.094,0.172,Secondary Ball Handler,Chaser
203083,Andre Drummond,2026,PHI,C,19.76,0.48,-0.126,0.606,1.457,Roll + Cut Big,Mobile Big
203084,Harrison Barnes,2026,SAS,PF,27.791,-0.287,-0.178,-0.109,2.043,Movement Shooter,Wing Stopper
