Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,Ty France,hitter,H,0.5,-173.0,115.0,Caesars,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ty France,hitter,H,0.5,-161.0,121.0,DraftKings,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ty France,hitter,H,0.5,-150.0,,FanDuel,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake Cronenworth,hitter,H,0.5,-175.0,125.0,BetMGM,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake Cronenworth,hitter,H,0.5,-213.0,136.0,Caesars,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake Cronenworth,hitter,H,0.5,-193.0,144.0,DraftKings,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jake Cronenworth,hitter,H,0.5,-200.0,,FanDuel,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Troy Johnston,hitter,H,0.5,-160.0,120.0,BetMGM,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Troy Johnston,hitter,H,0.5,-179.0,118.0,Caesars,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Troy Johnston,hitter,H,0.5,-153.0,115.0,DraftKings,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Troy Johnston,hitter,H,0.5,-175.0,,FanDuel,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jackson Merrill,hitter,H,0.5,-235.0,170.0,BetMGM,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jackson Merrill,hitter,H,0.5,-310.0,,Caesars,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jackson Merrill,hitter,H,1.5,-272.0,-272.0,DraftKings,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Jackson Merrill,hitter,H,0.5,-260.0,,FanDuel,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Nick Castellanos,hitter,H,0.5,-155.0,115.0,BetMGM,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Nick Castellanos,hitter,H,0.5,-170.0,127.0,Caesars,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Nick Castellanos,hitter,H,0.5,-176.0,131.0,DraftKings,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Nick Castellanos,hitter,H,0.5,-170.0,,FanDuel,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ezequiel Tovar,hitter,H,0.5,-165.0,125.0,BetMGM,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ezequiel Tovar,hitter,H,0.5,-218.0,139.0,Caesars,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Hits
